entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,EmployeeBenefitsExpense,GrossResult,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfMemberOfExecutiveBoard
29424780,2014-10-01,2015-09-30,c195,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,-1664224.0,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29424780,2014-10-01,2015-09-30,c4,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,-1664224.0,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,63110.0,157664.0,126389.0,126389.0,17293880.0,15624076.0,21113.0,373856.0,482644.0,21113.0,373856.0,880584.0,-1443450.0,-1796193.0,26027136.0,131400.0,220774.0,220774.0,15799252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29424780,2015-09-30,2015-09-30,c5,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,9863522.0,2763512.0,3125000.0,9600514.0,94233.0,3506602.0,102727.0,9863522.0,6356920.0,160281.0,263008.0,160281.0,4836558.0,21042.0,102727.0,-11442878.0,11824480.0,6356920.0,1258210.0,6837002.0,5477989.0,72831.0,0.0,189321.0,1243738.0,,,
29424780,2015-10-01,2015-10-01,c235,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133792.0,2236519.0,
29424780,2015-10-01,2015-10-01,c312,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,,,,,,3125000.0,,,,,,,,,,,,,,,,,,,,,,
29424780,2015-10-01,2015-10-01,c321,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,,,,,,11824480.0,,,,,,,,,,,,,,,,,,,,,,
29424780,2015-10-01,2015-10-01,c351,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,,,,,,-11442878.0,,,,,,,,,,,,,,,,,,,,,,
29424780,2015-10-01,2016-09-30,c1,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,467771.0,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,-450.0,0.0,97688.0,97688.0,12645792.0,13103595.0,145178.0,252384.0,338816.0,145178.0,252384.0,754632.0,467321.0,360115.0,22010894.0,97119.0,-450.0,-450.0,11455225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29424780,2015-10-01,2016-09-30,c106,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29424780,2015-10-01,2016-09-30,c194,,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzQ2LzZjL2NjLzBkNWEtNDc3NS1hZjEzLWY1NGFmNzkxZjNmZA.pdf,http://regnskaber.virk.dk/08742492/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk0LzIzLzIzLzI0MGMtNDgzZS1hMGMzLTJiMzhmMDUxODg2NQ.xml,true,80862.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,"Aarhus C, Denmark",8000.0,24A,Christiansgade,"8000 Aarhus C, Denmark",Christiansgade 24A,Regnskabsklasse B,2017-01-26,2017-01-26,2006-03-24,2017-02-03,statsaut. revisor,30700228.0,29424780.0,29424780.0,Ãrsrapport,Eskild N. Jakobsen,Aine Moran,Ernst & Young Godkendt Revisionspartnerselskab,JP Morgan Chase Bank,"Kromann Reumert, Vagn Thorup",Amdocs Advertising and Media - EMEA ApS,Amdocs Advertising and Media - EMEA ApS,"Ãrhus, den",2014-10-01,2015-09-30,467771.0,Ãrhus kommune,2016-09-30,2015-10-01,true,2017-01-26,"KÃ¸benhavn, den",87336400.0,RevisionspÃ¥tegning,urn:ofk:oid:23499701,indberetninger-20180424,2.5097342,29424780.0,,2018-03-27T16:42:39.609Z,2017-02-20T13:59:42.369Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-87-PY,2017-02-20T13:59:42.602Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
