entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CostOfSales,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherTaxExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,PlantAndMachinery,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
12819838,2011-07-01,2012-06-30,ID_10,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",239.0,1989-01-13,2013-11-28,13537.0,revisor@revisionscentralen.dk,151502.0,9793 1677,-231292.0,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,206735.0,5493.0,-35.0,12969.0,-47826.0,-60795.0,-66253.0,"Thisted, 787",2013-06-30,2012-07-01,-438266.0,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2011-07-01,2012-06-30,ID_12,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,47826.0,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,47826.0,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2012-06-30,2012-06-30,ID_16,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,271103.0,109388.0,0.0,-500000.0,208022.0,229069.0,-271103.0,-500172.0,-317405.0,-317405.0,63081.0,63081.0,63081.0,729069.0,0.0,-182767.0,98634.0,-12969.0,-43412.0,56000.0
12819838,2012-07-01,2013-06-30,ID_0,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2012-07-01,2013-06-30,ID_1,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2012-07-01,2013-06-30,ID_11,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,8313.0,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2012-07-01,2013-06-30,ID_13,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,8313.0,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2012-07-01,2013-06-30,ID_17,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
12819838,2012-07-01,2013-06-30,ID_18,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8vcGRmcy8xMjgxOTgzODtBL1MxNzg3Nzg7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/83891821/Y3ZyLmRrOi8veGJybHMvWC01NzJBRUQwOC0yMDEzMTEyOV8xMTQzMDBfNDM2.xml,"7700, Thisted",Kallerupvadested 12,"7700, Thisted",Kallerupvadested 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",,1989-01-13,2013-11-28,,revisor@revisionscentralen.dk,,9793 1677,,83149310.0,12819838.0,83149310.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01.07.12 - 30.06.13 for ND handel A/S.,Ãrsrapport,Erling G.  Jensen,Finn Harlis,Finn Harlis,RevisionsCentralen i Thisted ApS,ND handel A/S,RevisionsCentralen i Thisted ApS,,,,,,,,"Thisted, 787",2013-06-30,2012-07-01,,Storvorde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",9619 1919,DirektÃ¸r,urn:ofk:oid:18009345,indberetninger-20180424,2.5097417999999996,12819838.0,,2018-04-01T21:27:12.990Z,2013-12-01T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.278,2013-12-01T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
