entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfLawFirmStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfLongtermLiabilities,DisclosureOfOtherFinanceIncome,DisclosureOfTaxExpenseOnOrdinaryActivities,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2011-01-01,2011-12-31,ID_16,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,5500.0,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",29381.0,34881.0,34881.0,5500.0,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_18,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,-34881.0,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_20,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,-34881.0,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_22,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,879.0,879.0,-125000.0,879.0,2971577.0,-879.0,-2972456.0,-5000.0,3096577.0,-2972456.0,-2967456.0,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8vcGRmcy8yODkwMTQyOTtBcFMzNTQyMzU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92410982/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEzMDMxNV8xNDUzMjlfMDEw.xml,Carsten Fode,"Skanderborg, 8660","Niels Bohrs Vej 33 B, Stilling","Frederiksberg, 2000",Lindevangs AllÃ© 4,Til kapitalejerne i El-Salg Center FrederiksvÃ¦rk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-07-28,2013-03-14,Statsautoriseret revisor,. Langfristede gÃ¦ldsforpligtelser,. Finansielle indtÃ¦gter,. Skat af Ã¥rets resultat,43 66 46 01,,77926410.0,28901429.0,77926410.0,"Vi har revideret Ã¥rsregnskabet for El-Salg Center FrederiksvÃ¦rk ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter resultatopgÃ¸relse, balance, anvendt regnskabspraksis og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Albrechtsen,Per Byrial Andersen,Tomas Holm Hedehus,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Kromann Reumert,El-Salg Center FrederiksvÃ¦rk ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,,,"746, Skanderborg",2012-12-31,2012-01-01,2013-03-14,Frederiksberg,43 66 46 00,Administrerende direktÃ¸r,urn:ofk:oid:16974999,indberetninger-20180424,2.5118417999999996,28901429.0,,2018-04-01T21:57:30.944Z,2013-03-15T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-78.522,2013-03-15T23:00:00.000Z,,,,,,,,,,,,,
