entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
31475589,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,43723.0,registreret revisor,1991314.0,3034623.0,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,0.0,21326.0,Ringsted,2014-01-01,2014-12-31,776955.0,1020912.0,999586.0,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,243957.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,500000.0,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2014-01-01,2014-12-31,c8,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,276955.0,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2014-12-31,2014-12-31,c10,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,1797474.0,226136.0,125000.0,1329485.0,2872.0,338012.0,982808.0,102772.0,53288.0,27205.0,1797474.0,805614.0,338012.0,53288.0,467989.0,158368.0,35240.0,129977.0,500000.0,9052.0,9052.0,357808.0,805614.0,1050061.0,1011949.0,239215.0,408031.0,,,
31475589,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,54487.0,registreret revisor,2250294.0,2624618.0,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,772.0,35375.0,Ringsted,2014-01-01,2014-12-31,255253.0,354440.0,319837.0,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,99187.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,31634466.0,REVISORTEAMET.DK ApS,
31475589,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne Marie Madsen
31475589,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Madsen
31475589,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,500000.0,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzY5LzNkLzMyLzUzOGYtNDZkYS1iZTY4LTZmNWRhOGU0NjBjYg.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzAyL2MzL2ExL2Y3L2IxMzAtNGEzMS05MjFiLWU1MzU0MmRhZDA4OA.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1LzkyLzk0Lzg1LzNjZTktNGIwZi05ZjEyLWYyOTczZjgzNzJhZg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100 Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-10,2016-05-31,,registreret revisor,,,31475589.0,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,2014-01-01,2014-12-31,-244747.0,,,2015-12-31,2015-01-01,false,false,2016-05-10,Ringsted,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22664790,indberetninger-20180424,2.5949402000000004,31475589.0,,2018-03-29T05:01:52.743Z,2016-06-10T12:15:11.479Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-83-PV,2016-06-10T12:15:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
