entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
31475589,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,104953.0,Registreret revisor,3680946.0,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,189.0,5140.0,Ringsted,107000.0,2017-01-01,2017-12-31,668286.0,857211.0,852260.0,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,44540.0,188925.0,false,false,Andre erklÃ¦ringer uden sikkerhed,2572193.0,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,500000.0,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2017-01-01,2017-12-31,c9,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,168286.0,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2017-12-31,2017-12-31,c11,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,1644811.0,283817.0,125000.0,465892.0,19268.0,276589.0,1151016.0,300642.0,78212.0,601688.0,1644811.0,457590.0,276589.0,78212.0,1178919.0,182128.0,84595.0,902330.0,500000.0,36205.0,36205.0,526016.0,457590.0,83416.0,103863.0,0.0,163595.0,28451.0,,,
31475589,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,251047.0,Registreret revisor,4379702.0,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,2826.0,9737.0,Ringsted,120284.0,2017-01-01,2017-12-31,1127039.0,1445410.0,1438499.0,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,55611.0,318371.0,false,false,Andre erklÃ¦ringer uden sikkerhed,2514261.0,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31475589,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31634466.0,REVISORTEAMET.DK ApS,
31475589,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne Marie Madsen
31475589,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Madsen
31475589,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31634466.0,REVISORTEAMET.DK ApS,
31475589,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzL2E3LzE4LzNlLzZmLzdkMWItNDU5Zi1hN2M3LTAwZDg3Nzk2YTdkOA.xhtml,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZmL2IzLzlhLzdiYTMtNGEwYS05OTkxLTVlZjA5NmQ4ZTQ3Yg.pdf,http://regnskaber.virk.dk/98557413/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2YxLzc4LzgzLzdkYTUtNDdiOS05YTRhLTM5OGI1YzVhMjIzMg.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Nyrup,4296.0,6.0,Sandtoften,4100  Ringsted,Brogade 50,Til den daglige ledelse i LifeClub ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,5.0,Regnskabsklasse B,2019-02-21,2019-02-25,,Registreret revisor,,31475589.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Marie Madsen,LIFECLUB ApS,Revisorteamet.dk ApS,,,Ringsted,,2017-01-01,2017-12-31,500000.0,,,2018-12-31,2018-01-01,false,2019-02-21,Ringsted,,,false,false,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:26781478,indberetninger-20180424,2.5948012,31475589.0,AWlSt2EVRYGX6_YTFm2z,2019-03-06T11:16:28.052Z,2019-03-06T11:15:42.858Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AM-28-LA,2019-03-06T11:15:43.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
