entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTradePayables
25506022,2017-01-01,2017-01-01,c704,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,275000.0,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
25506022,2017-01-01,2017-01-01,c725,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,-2529685.0,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
25506022,2017-01-01,2017-12-31,c106,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25506022,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,-8407697.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25506022,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,-8407697.0,-25281.0,8382415.0,-1.0,-8407697.0,-25281.0,0.0,,,,,,,,,,,,,,,,,,,,
25506022,2017-01-01,2017-12-31,c726,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,-8407697.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25506022,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,-10662382.0,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,,,,,,,,40261895.0,1752198.0,275000.0,39226895.0,40261895.0,50924277.0,1035000.0,50899277.0,50899277.0,1035000.0,1035000.0,37474697.0,0.0,-10937382.0,37474697.0,25000.0,0.0,0.0,0.0,25000.0
25506022,2017-12-31,2017-12-31,c706,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,275000.0,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
25506022,2017-12-31,2017-12-31,c727,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,-10937382.0,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
25506022,2018-01-01,2018-01-01,c177,,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzEzLzA4LzAzL2YzZmUtNGRjMC05NTI5LWM1OGQwN2U5ZjgxOQ.pdf,http://regnskaber.virk.dk/22060552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FkLzdmLzBhLzVjNTAtNGRkNi1hY2RhLTMwMmRmZjUzNmQ1Ng.xml,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,VedbÃ¦k,2950.0,19.0,Rungsted Strandvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-05-14,2019-05-14,2019-05-28,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",copenhagen@redmark.dk,275000.0,29442789.0,25506022.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for CKH Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Christian Hansen,Christian Karsten Hansen,"Redmark, Statsautoriseret Revisionspartnerselskab",CKH Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",VedbÃ¦k,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-05-14,KÃ¸benhavn,39163636.0,RevisionspÃ¥tegning,urn:ofk:oid:27291824,indberetninger-20180424,2.5124266,25506022.0,AWsDR4EDRYGX6_YTIKzI,2019-05-29T11:09:12.995Z,2019-05-29T11:09:05.772Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BJ-26-VW,2019-05-29T11:09:05.975Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
