entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnReceivablesFromOwnersAndManagement,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,OtherExternalExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxReceivables
entity identifier,2010-06-01,2011-05-31,ID_11,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",0.0,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
entity identifier,2010-06-01,2011-05-31,ID_13,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",29520.0,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
entity identifier,2010-06-01,2011-05-31,ID_15,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",29520.0,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
entity identifier,2010-06-01,2011-05-31,ID_9,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",-29520.0,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,-1250.0,-37845.0,-39095.0,-1250.0,9575.0,,,,,,,,,,,
entity identifier,2011-05-31,2011-05-31,ID_17,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,988019.0,62491.0,-125000.0,988019.0,-988019.0,-988019.0,0.0,-863019.0,925528.0,915126.0,10402.0
entity identifier,2011-06-01,2012-05-31,ID_0,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
entity identifier,2011-06-01,2012-05-31,ID_1,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
entity identifier,2011-06-01,2012-05-31,ID_10,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",48300.0,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
entity identifier,2011-06-01,2012-05-31,ID_12,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",-43613.0,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
entity identifier,2011-06-01,2012-05-31,ID_14,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8vcGRmcy8yNzUyNTM3NztBcFMzNzYxNTg7MjAxMTA2MDE7MjAxMjA1MzE7UjtS.pdf,http://regnskaber.virk.dk/77352572/Y3ZyLmRrOi8veGJybHMvWC04MDNBNTk5NS0yMDEyMTAzMF8xMDI3MTJfNDkz.xml,"7700, Thisted",Jyllands Alle 23,"Thisted, 7700",BÃ¸dkervej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. maj 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni 2011 - 31. maj 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-22,2012-10-22,Registreret revisor,28839200.0,27525377.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juni 2011 - 31. maj 2012 for Karsten Larsen ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Werner KÃ¼hn Jensen,Karsten Larsen,Karsten Larsen,"REVISION LIMFJORD, Registreret revisionsaktieselskab",Karsten Larsen ApS,"Registreret revisionsaktieselskab, REVISION LIMFJORD",4687.0,"Thisted, 787",2012-05-31,2011-06-01,2012-09-11,Thisted,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17669799,indberetninger-20180424,2.5097342,27525377.0,,2018-04-02T05:17:41.975Z,2012-10-30T23:00:00.000Z,regnskab,0.0,,2012-05-31,2011-06-01,12-238.391,2012-10-30T23:00:00.000Z,,,,,,,,,,,,,,,,
