entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfEmployeeBenefitsExpense,DisclosureOfInvestments,DisclosureOfLiabilitiesUnderLeases,DisclosureOfOtherFinanceIncome,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-17,2012-03-31,ID_10,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,0.0,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,-49691.0,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,87963.0,28704.0,38272.0,-49691.0,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",-9568.0,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-17,2012-03-31,ID_12,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,-28704.0,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-17,2012-03-31,ID_14,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,-28704.0,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-03-31,2012-03-31,ID_16,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,3190583.0,7776.0,-80000.0,213006.0,3785.0,-341054.0,0.0,2977577.0,-3190583.0,-2765700.0,-1567229.0,-2726731.0,-1159502.0,2977577.0,-13694.0,141620.0,2977577.0,-83829.0,-83829.0,28704.0,-289758.0,-38969.0,205230.0,-25275.0,59825.0
entity identifier,2012-04-01,2013-03-31,ID_0,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_1,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_11,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,-179036.0,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_13,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,-179036.0,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_17,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_18,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTA0MjtBcFM0ODYxODM7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/24018333/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDgyMV8xMDUwMTRfMzU0.xml,"Roskilde, 4000",Ledreborg AllÃ© 132,"4000, Roskilde",Ledreborg AllÃ© 130i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2011-01-17,2013-08-14,,Registreret revisor,. Personaleomkostninger,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,11332609.0,33381042.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. april 2012 - 31. marts 2013 for Teglholm ApS.,Ãrsrapport,Merete Jacobsen,Lars Bonde Lindberg,Lars Bonde Lindberg,Mer Revision,Teglholm ApS,Mer Revision,,,,,2013-03-31,2012-04-01,2013-08-14,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:13946488,indberetninger-20180424,2.509423,33381042.0,,2018-04-01T16:17:09.536Z,2013-08-21T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.917,2013-08-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
