entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,ExtraordinaryProfitLossBeforeTax,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromInvestmentsInAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
30530721,2012-10-01,2013-09-30,c4,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-30236.0,-4250.0,14038779.0,30530721.0,1000669823.0,-25986.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,-29036.0,-30236.0,-4250.0,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",-1200.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
30530721,2012-10-01,2013-09-30,c6,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,0.0,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
30530721,2012-10-01,2013-09-30,c8,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,-29036.0,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
30530721,2013-09-30,2013-09-30,c10,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,37627.0,125000.0,4200.0,4200.0,19615.0,37627.0,18012.0,33427.0,33427.0,33427.0,0.0,-105385.0,18012.0,3512.0,7625.0,4200.0,6875.0,,
30530721,2013-10-01,2014-09-30,c0,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",113777.0,-1375.0,14038779.0,30530721.0,1000669823.0,115152.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,114077.0,113777.0,-1375.0,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",-300.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
30530721,2013-10-01,2014-09-30,c1,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,"REVISIONSFIRMAET HVASS A/S ,      GODKENDT REVISIONSSELSKAB",
30530721,2013-10-01,2014-09-30,c2,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,Kent Kragh Bach
30530721,2013-10-01,2014-09-30,c3,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,Rikke Willer Bach
30530721,2013-10-01,2014-09-30,c5,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,23579.0,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
30530721,2013-10-01,2014-09-30,c7,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8vcGRmcy8zMDUzMDcyMTtBcFM0NDM3NjI7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/12703503/Y3ZyLmRrOi8veGJybHMvWC1DQkUxQzc4QS0yMDE1MDIxMF8wODM5NDFfOTM0.xml,Danmark,DK,Bjerringbro,8850.0,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-01-30,2015-01-30,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,14038779.0,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2012-10-01,2013-09-30,90498.0,,,2014-09-30,2013-10-01,2015-01-30,Bjerringbro den,"Det erklÃ¦res, at betingelser for fravalg af revision stadig er opfyldt.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:19862268,indberetninger-20180424,2.5097342,30530721.0,,2018-03-30T10:56:37.740Z,2015-02-10T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.351,2015-02-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
