entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromInvestmentsInAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
30530721,2013-10-01,2014-09-30,c4,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-1375.0,30530721.0,1000669823.0,115152.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,114077.0,113777.0,-1375.0,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",-300.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,
30530721,2013-10-01,2014-09-30,c6,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,23579.0,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,
30530721,2013-10-01,2014-09-30,c8,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,90498.0,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,
30530721,2014-09-30,2014-09-30,c10,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,153079.0,125000.0,4500.0,4500.0,133692.0,153079.0,19387.0,148579.0,148579.0,148579.0,23579.0,-14887.0,19387.0,15637.0,4500.0,3750.0,,,
30530721,2014-10-01,2015-09-30,c0,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-5250.0,30530721.0,1000669823.0,8738.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,3988.0,3488.0,-5250.0,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",-500.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,
30530721,2014-10-01,2015-09-30,c1,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,14038779.0,"REVISIONSFIRMAET HVASS A/S , GODKENDT REVISIONSSELSKAB",
30530721,2014-10-01,2015-09-30,c2,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,Kent Kragh Bach
30530721,2014-10-01,2015-09-30,c3,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,Rikke Willer Bach
30530721,2014-10-01,2015-09-30,c5,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,8738.0,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,
30530721,2014-10-01,2015-09-30,c7,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzBkL2RhLzQxLzIxMmUtNGRjNC05MDc3LTVkNTcxNDc4YzcxYQ.xhtml,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2M5LzE3LzJjLzAxYmEtNDJmNi04Nzk3LTViNGM4MjczMWUyNA.pdf,http://regnskaber.virk.dk/12703503/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M0L2E2LzY5LzIxOWItNGNmNC1hNWQ3LTg5NmYxYmY5Yjk3OA.xml,Danmark,DK,Bjerringbro,25.0,Storegade,Spentrup,8981.0,10.0,PrÃ¦stemarken,8850  Bjerringbro,Storegade 25,Til den daglige ledelse i KR Bach Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-31,2015-12-31,"Registreret revisor, FSR - danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktivitet bestÃ¥r i at eje anparter i Bach Trading ApS.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30530721.0,1000669823.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen H. Hvass,Kent Bach,KR BACH HOLDING ApS,Revisionsfirmaet HVASS A/S,Spentrup,2013-10-01,2014-09-30,-4750.0,,,2015-09-30,2014-10-01,2015-12-31,Bjerringbro den,"Det erklÃ¦res, at betingelserne for fravalg af revision stadig er opfyldt.",,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21872406,indberetninger-20180424,2.5953817000000003,30530721.0,,2018-03-28T15:39:40.388Z,2016-01-08T09:32:43.651Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-18-DP,2016-01-08T09:32:43.814Z,,,,,,,,,,,,,,,,,,,
