entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",250000.0,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",-55565.0,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",194435.0,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",-194435.0,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,7000.0,802873.0,-1067974.0,32.0,-1166.0,-259235.0,-258101.0,64800.0,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_17,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,1551641.0,374656.0,-200000.0,1505457.0,234275.0,10977.0,-1041920.0,569801.0,-1551641.0,-509721.0,25767.0,569801.0,46184.0,25767.0,-55451.0,87326.0,20417.0,20417.0,-250000.0,-841920.0,-509721.0,-6206.0,561000.0,-198064.0,228422.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",250000.0,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",-260710.0,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8vcGRmcy8xMDQ2MTU4ODtBcFMxNTUwNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88516401/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDUzMF8xMTEwNTdfNjA5.xml,"2791, DragÃ¸r","MÃ¸llelodden 6, st.","2770, Kastrup",FuglebÃ¦kvej 3 A  1.,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-30,Registreret revisor,25928121.0,10461588.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Edmund Olsen og Frank Olsen Maskinfabrik ApS.,Ãrsrapport,Ernst Henriksen,Frank Olsen,Hans Frank Olsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Edmund Olsen og Frank Olsen Maskinfabrik ApS,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",-10710.0,2012-12-31,2012-01-01,2013-05-27,Kastrup,DirektÃ¸r,urn:ofk:oid:9501615,indberetninger-20180424,2.5124266,10461588.0,,2018-04-01T12:34:44.893Z,2013-05-31T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-17.442,2013-05-31T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
