entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,OtherShorttermReceivables,RetainedEarnings,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
26651506,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,-289.0,-200.0,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,200.0,89.0,Kongens Lyngby,2013-01-01,2013-12-31,-935.0,-289.0,-200.0,2014-12-31,2014-01-01,22500.0,646.0,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,
26651506,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,-935.0,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,
26651506,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,360716.0,181992.0,500000.0,360716.0,360716.0,360716.0,518.0,-139284.0,178724.0,142877.0,35329.0,
26651506,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,21175.0,21175.0,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,1325.0,89.0,Kongens Lyngby,2013-01-01,2013-12-31,12912.0,21175.0,21175.0,2014-12-31,2014-01-01,22500.0,8263.0,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,
26651506,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,
26651506,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,Rune HÃ¸rslev-Petersen
26651506,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,Frank GjerlÃ¸v Hansen
26651506,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,Martin Simonsen HÃ¸rslev-Petersen
26651506,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,12912.0,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,,,,,,,,,,,,
26651506,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzJjLzM0L2RmLzA1YzEtNGVhNS1iM2Q1LTc5YWM0N2ZlMWM2NA.xhtml,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzhiLzg3LzJmLzZhNjAtNGQ2YS05MTBmLTU1ZWI2NWVjYWNjYQ.pdf,http://regnskaber.virk.dk/60515662/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzFiL2RjLzliLzk5Y2QtNDA0OS04M2Y1LTVmYjJmNzRmZTdiYg.xml,Kongens Lyngby,2800.0,37.0,Ulrikkenborg AllÃ©,2800 Kongens Lyngby,"Ulrikkenborg AllÃ© 37, 3.",Regnskabsklasse B,2015-05-31,2015-05-31,,,26651506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rune HÃ¸rslev-Petersen,Rune HÃ¸rslev-Petersen,Nordea,JUNIORJR A/S,Lis Guldager Eggert,,89.0,Kongens Lyngby,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,22500.0,,31345769.0,Ingen bistand,urn:ofk:oid:5563775,indberetninger-20180424,2.5926313,26651506.0,,2018-03-30T23:13:53.403Z,2015-06-20T16:58:09.486Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-01-LQ,2015-06-20T16:58:09.524Z,373628.0,180667.0,500000.0,373628.0,373628.0,373628.0,518.0,-126372.0,192961.0,165377.0,27066.0,
