entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
15234695,2017-07-01,2018-06-30,ID_10,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,106000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,,,,,,,,,,,,,,,,,,,,
15234695,2017-07-01,2018-06-30,ID_12,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,145029.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,,,,,,,,,,,,,,,,,,,,
15234695,2017-07-01,2018-06-30,ID_6,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,751029.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,-37513.0,1047373.0,963175.0,46686.0,212146.0,,,,,,,,,,,,,,,,,,,,
15234695,2017-07-01,2018-06-30,ID_8,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,500000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,,,,,,,,,,,,,,,,,,,,
15234695,2018-06-30,2018-06-30,ID_5,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,10952506.0,938961.0,235000.0,10952506.0,0.0,10735980.0,10952506.0,216525.0,188070.0,188070.0,10013545.0,13955.0,500000.0,10000980.0,0.0,10013545.0,28455.0,0.0,14500.0,
15234695,2018-07-01,2019-06-30,ID_0,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,509942.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,-43715.0,705478.0,653734.0,8029.0,143792.0,,,,,,,,,,,,,,,,,,,,
15234695,2018-07-01,2019-06-30,ID_1,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,,,,,,,,,,,,,,,,,,,,
15234695,2018-07-01,2019-06-30,ID_11,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,401942.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,,,,,,,,,,,,,,,,,,,,
15234695,2018-07-01,2019-06-30,ID_2,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,,,,,,,,,,,,,,,,,,,,Preben Christensen
15234695,2018-07-01,2019-06-30,ID_3,,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzIxLzNlLzIwLzNiMjUtNGRhYS05OWYxLWU5YmY0OTFhNTFiNA.pdf,http://regnskaber.virk.dk/59643251/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4Lzg3LzZkL2I4LzUwYmEtNDNjOS05ZDIyLWNiNzcxN2Q4MTg0OQ.xml,true,"2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til den daglige ledelse i Brush Up ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-08-16,2019-08-16,1991-06-18,2019-09-13,29198535.0,15234695.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Brush Up ApS.,Ãrsrapport,Morten Rasmussen,Preben Christensen,CR Statsautoriseret Revisionsaktieselskab,Nykredit Bank,Brush Up ApS,CR Statsautoriseret Revisionsaktieselskab,VedbÃ¦k,2017-07-01,2018-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-08-16,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27824419,indberetninger-20180424,2.5122378,15234695,AW06PHWBIXJRhhXBNvCh,2019-09-16T13:22:18.654Z,2019-09-16T13:21:43.185Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-75-PS,2019-09-16T13:21:43.340Z,,,,,,,,,,,,,,,,,,,,,,,,,
