entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,NumberOfIssuedShares,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TelephoneNumberOfAuditor,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DividendPaid,ExtraordinaryDividendPaid,Dividend,AdjustmentsForDeferredTax,AdministrativeExpenses,AmortisationOfIntangibleAssets,AverageNumberOfEmployees,CostOfProduction,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DistributionCosts,EmployeeBenefitsExpense,ExchangeRateAdjustmentsOtherFinanceExpenses,ExchangeRateProfit,GrossResult,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RemunerationOfManagementCategories,Revenue,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermLiabilitiesOtherThanProvisions,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermLeaseCommitments,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfAuditorCountry,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfAdministrativeExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCashAndCashEquivalents,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDistributionCosts,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfOtherOperatingIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfReceivables,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfRevenue,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfTaxExpenses,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,DisclosureOfPropertyPlantAndEquipment,EmailOfReportingEntity,ExplanationOfOtherMethodsOfRecognitionAndMeasurementBasisForAssetsInPreviousPeriod,HomepageOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OpinionOnFinancialStatementsExtendedReview,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RetrospectiveInformationOnContributedCapital,SignatureOfAuditorsPlace,StatementOfExecutiveAndSupervisoryBoardsResponsibilityForFinancialStatementsExtendedReview,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueBetweenOneAndFiveYears,LongtermLiabilitiesOtherThanProvisionsDueInOneYear
89669510,2016-01-01,2016-01-01,c309,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,558000.0,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-01-01,c354,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,8770528.0,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-01-01,c360,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,7500000.0,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-12-31,c173,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,23000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-12-31,c177,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,5500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,1226285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-12-31,c355,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,6726285.0,0.0,5500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-12-31,c361,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,,,0.0,23000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-01-01,2016-12-31,c4,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,29726285.0,,,,-157000.0,9572989.0,768600.0,43.0,34381304.0,1466256.0,2017448.0,1248848.0,1100670.0,24066863.0,48899.0,583277.0,41233083.0,222100.0,390843.0,439742.0,805377.0,110482.0,1769409.0,31035541.0,30669906.0,2017448.0,75614387.0,35648.0,1309256.0,1309256.0,22261806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89669510,2016-12-31,2016-12-31,c1294,,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzg5L2RhLzBiLzExYmYtNDRhNy1hMWQxLWRmNTc5NTI4YjdhOQ.pdf,http://regnskaber.virk.dk/01596698/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzhhLzBkLzkzLzMxMDAtNDU3NC1hYmM0LTQ1ZTVjY2UzM2UwOA.xml,2625251.0,2000.0,4.0,3400.0,2.0,2018-04-10,2018-04-10,2015-02-15,2018-04-24,,30700228.0,89669510.0,30700228.0,558.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-04-10,+45 73 23 30 00,48207100.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25363790,indberetninger-20180424,2.5118417999999996,89669510.0,AWMAuqO2x8uVRSOdgA47,2018-04-26T06:54:19.904Z,2018-04-26T06:53:37.471Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-CK,2018-04-26T06:53:38.202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
