entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermTaxReceivables,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,DividendPaid
32061079,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,5665.0,-5665.0,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,10067.0,Horsens,2015-01-01,2015-12-31,3332.0,4402.0,-5665.0,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",1070.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,,,,,,,,,,,,
32061079,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,49900.0,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,,,,,,,,,,,,
32061079,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,-46568.0,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,,,,,,,,,,,,
32061079,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,481363.0,481363.0,125000.0,481363.0,475829.0,481363.0,5534.0,0.0,49900.0,300929.0,5534.0,0.0,0.0,1034.0,4500.0,
32061079,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,125000.0,,,,,,,,,,,
32061079,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,300929.0,,,,,,,,,,,
32061079,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,49900.0,,,,,,,,,,,
32061079,2016-01-01,2016-01-01,c13,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,475829.0,,,,,,,,,,,
32061079,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,5688.0,-5688.0,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,118.0,Horsens,2015-01-01,2015-12-31,-5387.0,-5570.0,-5688.0,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",-183.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,,,,,,,,,,,,49900.0
32061079,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2RkL2M2L2ZiLzc0MmYtNDliNy1iODczLWFmYWIzNDhmNmEyMQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q2LzBjLzc4L2MwZmUtNDIwMi04ODRiLTM3OGI0ZjI4OWFiMA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzg4L2ZmLzlmLzBkNTktNDFiZi1hZGM2LWE1NDhiNDdkNWEzNQ.xml,true,Horsens,8700.0,21.0,Lokesalle,8700 Horsens,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-24,2017-01-24,Statsautoriseret revisor,,,35465979.0,32061079.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Erik Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,0.0,2017-01-24,Horsens,"Det er ledelsens opfattelse, at man opfylder betingelserne for fravalg af revision, hvorfor revisionen er fravalgt for det kommende regnskabsÃ¥r.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23419602,indberetninger-20180424,2.5925990000000003,32061079.0,,2018-03-27T12:27:15.908Z,2017-01-24T14:21:07.668Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-27-QC,2017-01-24T14:21:07.857Z,,,,,,,,,,,,,,,,
