entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,NumberOfEmployees,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,ExternalExpenses,GrossResult,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,DividendPaid
32061079,2016-01-01,2016-01-01,c20,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,1.0,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,,,,,,,,,,,,,,,,,,,
32061079,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,1.0,5688.0,-5688.0,0.0,118.0,-5387.0,-5570.0,-5688.0,-183.0,,,,,,,,,,,,,,,
32061079,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,40100.0,,,,,,,,,,,,,,,,,,
32061079,2016-01-01,2016-12-31,c7,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,-45487.0,,,,,,,,,,,,,,,,,,
32061079,2016-12-31,2016-12-31,c9,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,1.0,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,,,,,429942.0,429902.0,125000.0,429942.0,420542.0,429942.0,9400.0,4500.0,40.0,40100.0,255442.0,9400.0,4900.0,40.0,
32061079,2017-01-01,2017-01-01,c10,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,,,,,,,,,125000.0,,,,,,,,,,
32061079,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,,,,,,,,,255442.0,,,,,,,,,,
32061079,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,,,,,,,,,40100.0,,,,,,,,,,
32061079,2017-01-01,2017-01-01,c13,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,1.0,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,,,,,,,,,,,,,,420542.0,,,,,,,,,,
32061079,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzUyL2RhLzc1LzAzYzUtNGQyMy04NmI4LWE1ZWUyZDU1ZGFhOQ.xhtml,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzM4LzFmL2RiLzY5MTMtNDk2MS04OTIxLWU2ZDhhNTY0YmEwNA.pdf,http://regnskaber.virk.dk/97016023/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzQ4LzA0L2RjL2Y1ZDctNGNlOC1hM2M2LWNhOWQ5ZTcyOGNmMg.xml,true,Horsens,8700.0,21.0,Lokesalle,8700.0,SandÃ¸vej 1b,Til den daglige ledelse i PEH Horsens ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-07,2018-02-08,Statsautoriseret revisor,35465979.0,32061079.0,mne33731,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Sand,Poul Hansen,Poul Erik Hansen,Revisto Statsautoriseret revisionspartnerselskab,PEH HORSENS ApS,Jesper Sand,,Horsens,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-07,Horsens,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25036518,indberetninger-20180424,2.5927862999999998,32061079.0,,2018-04-03T19:23:18.273Z,2018-02-08T09:49:42.827Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-14-DP,2018-02-08T09:49:43.036Z,1.0,5688.0,-5688.0,145.0,1317.0,-4516.0,-4516.0,-5688.0,0.0,,,,,,,,,,,,,,,40100.0
