entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ProposedDividend,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesDividendsFromAssociates,NameAndSurnameOfMemberOfExecutiveBoard
30723090,2013-07-01,2014-06-30,ID_10,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",-98400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
30723090,2013-07-01,2014-06-30,ID_12,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",-685203.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
30723090,2013-07-01,2014-06-30,ID_14,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",-95957.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
30723090,2013-07-01,2014-06-30,ID_16,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",-879560.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
30723090,2013-07-01,2014-06-30,ID_8,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",879560.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,-5643.0,885203.0,879560.0,-5643.0,,,,,,,,,,,,,,,,,,,
30723090,2014-06-30,2014-06-30,ID_18,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,1632893.0,108636.0,125000.0,308636.0,1513380.0,1632893.0,119513.0,1324257.0,1324257.0,1324257.0,4800.0,98400.0,1200507.0,187873.0,119513.0,16313.0,200000.0,200000.0,
30723090,2014-07-01,2015-06-30,ID_0,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
30723090,2014-07-01,2015-06-30,ID_1,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
30723090,2014-07-01,2015-06-30,ID_11,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",-63502.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
30723090,2014-07-01,2015-06-30,ID_13,,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzlhLzAwLzBmLzA1ZDMtNDA0Mi1hZTJjLTI0NDZhYTQyOGRjMg.pdf,http://regnskaber.virk.dk/09032703/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzQ3Lzk1LzllLzU3OTgtNDhiNS05YWYzLTE0ZTYxZjNhMGNhYg.xml,"7400, Herning",Ãstergade 12,Til kapitalejerne i Anja Albrechtsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015.",2015-09-07,2007-07-17,2015-09-11,30723090.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2014 - 30. juni 2015 for Anja Albrechtsen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anja Albrechtsen,Sydbank,Anja Albrechtsen Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 7. september 2015",-94547.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-06-30,2014-07-01,2015-09-07,Herning,40 13 58 65,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:21422220,indberetninger-20180424,2.5117264,30723090.0,,2018-03-30T13:54:04.093Z,2015-09-14T12:16:50.462Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-60-BQ,2015-09-14T12:16:50.597Z,,,,,,,,,,,,,,,,,,,,,,,
