entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfEmployeeBenefitsExpense,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables
27968503,2013-01-01,2013-12-31,c2,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",0.0,-4269.0,27968503.0,96409.0,745000.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,0.0,6932.0,HolbÃ¦k,2013-01-01,2013-12-31,844072.0,844072.0,-4269.0,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,0.0,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2013-01-01,2013-12-31,c4,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2013-01-01,2013-12-31,c6,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,14368.0,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2013-01-01,2013-12-31,c8,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,829704.0,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2013-12-31,2013-12-31,c10,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,1762972.0,5324.0,125000.0,1157414.0,1720972.0,1762972.0,42000.0,605558.0,605558.0,605558.0,42000.0,1152090.0,0.0,0.0,0.0,14368.0,1581604.0,42000.0,1152090.0,0.0,0.0
27968503,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",0.0,-2000.0,27968503.0,30869.0,-543223.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,2.0,23518.0,HolbÃ¦k,2013-01-01,2013-12-31,-495626.0,-490838.0,-2000.0,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,4788.0,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,30869.0,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
27968503,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2YwL2NmL2VkLzgzNzQtNDc2NC1iYjNlLWYyMGYzMmNjMDAwMQ.xhtml,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzIzL2UwL2Q5LzAwZDItNDZiNi05ZGY2LWIwNzcxOTFkZDMxMQ.pdf,http://regnskaber.virk.dk/30586972/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzk3LzM1LzhlLzU3ZTUtNGM1Ni04NDNjLThhYzk4MDY0YWNhNA.xml,HolbÃ¦k,4300.0,60.0,Kalundborgvej,4300 HolbÃ¦k,Kalundborgvej 60,Regnskabsklasse B,2015-06-16,2015-06-17,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i indevÃ¦rende regnskabsÃ¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har kautioneret for bankgÃ¦ld i associerede virksomheder.</p>",,,27968503.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Willy Gotfredsen,Willy Ejvang Gotfredsen,WEGO HOLDING ApS,RevisorGÃ¥rden HolbÃ¦k,,,HolbÃ¦k,2013-01-01,2013-12-31,-526495.0,,,2014-12-31,2014-01-01,Selskabet har fravalgt revision for det kommende regnskabsÃ¥r.,,Ingen bistand,urn:ofk:oid:5543937,indberetninger-20180424,2.59279,27968503.0,,2018-03-30T21:29:09.817Z,2015-06-17T09:58:02.619Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-84-CL,2015-06-17T09:58:02.684Z,,,,,,,,,,,,,,,,,,,,,
