entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables
29816360,2012-01-01,2012-01-01,c456,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,125000.0,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
29816360,2012-01-01,2012-01-01,c474,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,-183487.0,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
29816360,2012-01-01,2012-12-31,c123,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,-10118.0,,,,,,,,,,,,,,,,,,
29816360,2012-01-01,2012-12-31,c3,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,-10118.0,-11125.0,2366.0,2366.0,-13491.0,-11125.0,-3373.0,,,,,,,,,,,,
29816360,2012-01-01,2012-12-31,c475,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,-10118.0,,,,,,,,,,,,,,,,,,
29816360,2012-12-31,2012-12-31,c4,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,-68605.0,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,,,,,,,,19689.0,125000.0,19689.0,19689.0,19689.0,88294.0,-193605.0,88294.0,85294.0,19689.0,0.0,3000.0
29816360,2012-12-31,2012-12-31,c452,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,125000.0,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
29816360,2012-12-31,2012-12-31,c476,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,-193605.0,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
29816360,2013-01-01,2013-01-01,c199,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,-193605.0,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
29816360,2013-01-01,2013-01-01,c453,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8vcGRmcy8yOTgxNjM2MDtBcFM0NTEwMDk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/06361892/Y3ZyLmRrOi8veGJybHMvWC01NjM5N0JCQi0yMDE0MDYwMl8xMjQxNDVfNzk0.xml,Nyborg,5800.0,sal,"Strandvejen 11, 1.","8960, Randers SÃ","Tronholmen, 3",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-21,2014-03-21,2009-02-12,2014-03-28,125000.0,29816360.0,76487316.0,"Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2013 for Mayday, Nyborg ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",ThorbjÃ¸rn Heinze Pedersen,Pia Heinze Pedersen,"Mayday, Nyborg ApS","Kvist & Jensen, Statsautoriserede revisorer A/S",Nyborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Nyborg,2013-12-31,2013-01-01,2014-03-21,Randers,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:20086309,indberetninger-20180424,2.5124402000000003,29816360.0,,2018-03-31T18:59:18.940Z,2014-06-02T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-133.141,2014-06-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
