entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdministrativeExpenses,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprises,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions
33066910,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,4063.0,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",23483.0,16315370.0,33066910.0,23483.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,19420.0,19420.0,19420.0,2016-12-31,2016-01-01,0.0,true,false,2017-04-29,Dalmose,0.0,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,13483.0,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,5937.0,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,199996.0,1264.0,80000.0,1264.0,168747.0,199996.0,31249.0,198732.0,198732.0,198732.0,31249.0,96232.0,-7485.0,31249.0
33066910,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,3750.0,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",-5170.0,16315370.0,33066910.0,-5170.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,-9120.0,-9120.0,-8920.0,2016-12-31,2016-01-01,200.0,true,false,2017-04-29,Dalmose,0.0,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,-15170.0,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,6050.0,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,,,,,,,,,,,,,,
33066910,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2Q0LzFkLzU5L2JkY2ItNDdjYS04NjNmLTc2ZTVkNWRkNDUxOA.xhtml,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzUyL2E2L2Y1LzZmYzUtNGYyOC1hMWJhLWI2MGQzOWFjNzNlYQ.pdf,http://regnskaber.virk.dk/01966033/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzZhLzQzLzAwL2EyMGQtNDk5Yi1hMmY5LTEyMDE3ODg1N2U1Yg.xml,true,Slagelse,4200.0,29.0,Mariendals Alle,Slagelse,4200.0,11.0,Danasvej,4261 Dalmose,Hovedgaden 50,Til den daglige ledelse i TSvendsen Holding ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-29,2017-05-05,Registreret revisor FDR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,16315370.0,33066910.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Dennis Malle,Thomas Svendsen,Thomas Michael Svendsen,"DM Revisionsfirma af 1993, registreret revisionsvirksomhed",Spar Nord,TSVENDSEN HOLDING ApS,DM Revisionsfirma af 1993,Slagelse,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-29,Dalmose,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23813183,indberetninger-20180424,2.5949402000000004,33066910.0,,2018-03-27T20:18:41.069Z,2017-05-05T06:21:51.770Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-16-XT,2017-05-05T06:21:51.945Z,183576.0,14.0,80000.0,14.0,159627.0,183576.0,23949.0,183562.0,183562.0,183562.0,23949.0,81062.0,-1435.0,23949.0
