entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,NameAndSurnameOfMemberOfExecutiveBoard
20818840,2014-10-01,2015-09-30,ID_2,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,-5125.0,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,26641.0,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,18932.0,17351.0,21516.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,-1581.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,
20818840,2014-10-01,2015-09-30,ID_4,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,-26641.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,
20818840,2014-10-01,2015-09-30,ID_6,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,7709.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,
20818840,2015-09-30,2015-09-30,ID_8,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,346113.0,200000.0,4065.0,4065.0,260587.0,346113.0,85526.0,342048.0,342048.0,342048.0,3750.0,134944.0,-74357.0,85526.0,81776.0,4065.0,
20818840,2015-10-01,2016-09-30,ID_0,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,-4375.0,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,18714.0,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,12137.0,9529.0,14339.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,-2608.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,
20818840,2015-10-01,2016-09-30,ID_1,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,John  Knutzen
20818840,2015-10-01,2016-09-30,ID_3,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,-18714.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,
20818840,2015-10-01,2016-09-30,ID_5,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,6577.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,
20818840,2015-10-01,2016-09-30,ID_9,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,,,,,,,,,,,,,,,,,
20818840,2016-09-30,2016-09-30,ID_7,,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2JhL2VjLzFlLzZhY2ItNGY2NS04NzUxLTA3OGM4NGViZGU3MA.pdf,http://regnskaber.virk.dk/04881802/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzY5LzcyLzU3LzkzMDQtNDRiNy1hZTA2LWY1NDZmY2NmMzg2MQ.xml,"7000, Fredericia",ErritsÃ¸ MÃ¸llebank 10,Til den daglige ledelse i John Knutzen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2015 - 30-09-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-28,1998-04-01,2017-02-28,,20818840.0,32363199.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2015 - 30-09-2016 for John Knutzen Holding ApS.,,Ãrsrapport,John Knutzen,John Knutzen Holding ApS,Skat Consult ApS,"Kolding, den 28-02-2017",2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Kolding, 621",2016-09-30,2015-10-01,2017-02-28,Fredericia,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23594771,indberetninger-20180424,2.511692,20818840,,2018-03-28T00:05:50.109Z,2017-03-14T13:47:20.740Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-37-YS,2017-03-14T13:47:21.002Z,366571.0,200000.0,5809.0,5809.0,272724.0,366571.0,93847.0,360762.0,360762.0,360762.0,4253.0,153658.0,-80934.0,93847.0,89594.0,5809.0,
