entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
34047065,2015-01-01,2015-12-31,ID_7,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,-489679.0,125120.0,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",51658.0,DragÃ¸r,2015-01-01,2015-12-31,532080.0,563141.0,614799.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,31061.0,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,,
34047065,2015-01-01,2015-12-31,ID_9,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,-532080.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,,
34047065,2015-12-31,2015-12-31,ID_6,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,3450870.0,80000.0,665801.0,3450870.0,3450870.0,2785069.0,2657102.0,2657102.0,3450870.0,78885.0,3450870.0,585801.0,19282.0,127967.0,0.0,17300.0,12500.0,,
34047065,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,0.0,96513.0,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",45443.0,DragÃ¸r,2015-01-01,2015-12-31,39766.0,51070.0,96513.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,11304.0,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,,
34047065,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,,
34047065,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,Jan Borg,DirektÃ¸r
34047065,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,Kent Jensen,DirektÃ¸r
34047065,2016-01-01,2016-12-31,ID_4,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,,
34047065,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,-39766.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,,,,,,,,,,,,,,,,,,,
34047065,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzczLzM1L2M3LzNhODMtNGUyZS05N2YwLTZiYmI1Mzk1OGRhZQ.pdf,http://regnskaber.virk.dk/56074043/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzhjLzVjLzMzL2RhMGQtNDlkZC1iY2FiLTU5ZjIxZTE4ZmE4Yg.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i Ringbo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-16,2017-05-16,2011-11-08,2017-05-16,,,26659817.0,34047065.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Ringbo ApS.,Ãrsrapport,Per Kronborg,Jan Borg,Revisionsfirmaet Per Kronborg,Ringbo ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",,DragÃ¸r,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"155, DragÃ¸r",2016-12-31,2016-01-01,false,2017-05-16,Kastrup,,RevisionspÃ¥tegning,urn:ofk:oid:23998324,indberetninger-20180424,2.5124316,34047065.0,,2018-03-28T13:37:51.718Z,2017-05-30T20:19:06.019Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-63-JM,2017-05-30T20:19:06.442Z,3450870.0,80000.0,705568.0,3450870.0,3450870.0,2745302.0,2582580.0,2582580.0,3450870.0,105740.0,3450870.0,625568.0,15747.0,162722.0,20000.0,8735.0,12500.0,,
