entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForDeferredTax,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherInterestExpenses,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,ValueAdjustmentsOfEquity,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfSupervisoryBoard
20408073,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,0.0,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,46000.0,55352.0,Statsautoriseret revisor,1407000.0,11687000.0,20222670.0,20408073.0,20222670.0,Ãrsrapport,75000.0,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,74000.0,101000.0,26000.0,KÃ¸benhavn,90000.0,2015-01-01,2015-12-31,10133000.0,10133000.0,10234000.0,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,15000.0,0.0,Formand,1406869.0,1228000.0,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20408073,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,10133000.0,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20408073,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,1277000.0,6000.0,600000.0,19000.0,-1765000.0,184000.0,783000.0,1277000.0,3042000.0,184000.0,2.0,510000.0,184000.0,783000.0,-2365000.0,408000.0,0.0,3042000.0,2057000.0,304000.0,115000.0,67000.0,170000.0,,,,,
20408073,2016-01-01,2016-01-01,c226,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,
20408073,2016-01-01,2016-01-01,c253,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,-2365715.0,,,,,,,,,,,,,,,,,,,,,,,
20408073,2016-01-01,2016-01-01,c456,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,,,,,,,,,,,,,,,,,,,,717231.0,901383.0,,,
20408073,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,223696.0,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,55352.0,55352.0,Statsautoriseret revisor,1386372.0,1658747.0,20222670.0,20408073.0,20222670.0,Ãrsrapport,77212.0,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,24791.0,96153.0,18941.0,KÃ¸benhavn,94928.0,2015-01-01,2015-12-31,-102826.0,120870.0,217023.0,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,22805.0,223696.0,Formand,1406869.0,1243848.0,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,
20408073,2016-01-01,2016-12-31,c194,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,-102826.0,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20408073,2016-01-01,2016-12-31,c254,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,-102826.0,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20408073,2016-01-01,2016-12-31,c305,,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzVhLzI5LzA1LzRmY2UtNGVlYi1hNzE4LWE4YjVhYmJjYmZiZA.pdf,http://regnskaber.virk.dk/37080402/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzY4L2JmLzFkLzA1OGYtNGE0My04MTAyLWE4N2NjZTYwMWYzZQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn K,1090.0,2.0,Holmens Kanal,KÃ¸benhavn Ã,2100.0,5.0,Sundkrogsgade,2680 SolrÃ¸d Strand,Vinmarken 18,1561 KÃ¸benhavn V,Havneholmen 29,,Regnskabsklasse B,2017-07-10,1997-09-01,2017-07-10,,55352.0,Statsautoriseret revisor,,,20222670.0,20408073.0,20222670.0,Ãrsrapport,,Per Frost Jensen,Joachim Koschier,Joachim Koschier,Danske Bank,Kromann Reumert,BÃ¶we Systec A/S,BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,,2015-01-01,2015-12-31,,,,SolrÃ¸d,2016-12-31,2016-01-01,true,2017-07-10,KÃ¸benhavn,,,Formand,1406869.0,,urn:ofk:oid:24355386,indberetninger-20180424,2.5118417999999996,20408073.0,,2018-03-27T11:36:33.148Z,2017-07-11T13:48:45.775Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AQ-14-YN,2017-07-11T13:48:45.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
