entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityCountry,AddressOfReportingEntityCountryIdentificationCode,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DisclosureOfMortgagesAndCollaterals,DividendPaid,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodNumber,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,AdministrativeExpenses,DistributionCosts,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,OtherFinanceIncome,ProfitLoss,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermTaxPayables,ShorttermTradePayables
28709005,2015-01-01,2015-01-01,c659,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,125000.0,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28709005,2015-01-01,2015-01-01,c680,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,13372.0,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28709005,2015-01-01,2015-12-31,c37,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,0.0,0.0,45.0,0.0,-7735.0,2826.0,-4954.0,0.0,,,,,,,,,,,,,,,,,,,,
28709005,2015-01-01,2015-12-31,c53,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,-4954.0,,,,,,,,,,,,,,,,,,,,,
28709005,2015-01-01,2015-12-31,c681,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,-4954.0,,,,,,,,,,,,,,,,,,,,,
28709005,2015-12-31,2015-12-31,c54,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,133418.0,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,,,1034685.0,901065.0,125000.0,924685.0,110000.0,1034685.0,901267.0,110000.0,23620.0,1449.0,110000.0,0.0,0.0,8418.0,23620.0,901267.0,720000.0,167298.0,12520.0,0.0
28709005,2015-12-31,2015-12-31,c661,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,125000.0,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28709005,2015-12-31,2015-12-31,c682,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,8418.0,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28709005,2016-01-01,2016-01-01,c129,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,125000.0,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28709005,2016-01-01,2016-01-01,c147,,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzLzNkL2U4LzA4LzIyL2FiNzItNGZlZi05NWIyLWIwZjc3MjgwZTM0MQ.pdf,http://regnskaber.virk.dk/50090782/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzI3LzlkLzA4LzMwYzctNGViMC1iNmMxLWVmNmVjZGQ5MGUxMg.xml,Danmark,DK,Thisted,7700.0,10.0,Ãsvej,9690 Fjerritslev,Oddevej 182,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 og resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.","Ãrsregnskabet er ikke revideret. Ledelsen erklÃ¦rer, at betingelserne herfor er opfyldt.",2005-05-20,2017-04-07,"Finansielle indtÃ¦gter og omkostninger indeholder renter, kursgevinster og -tab vedrÃ¸rende vÃ¦rdipapirer, gÃ¦ld og transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser samt tillÃ¦g og godtgÃ¸relser under acontoskatteordningen mv.",Der er ikke stillet pant eller afgivet sikkerhed.,-280000.0,8419.0,28709005.0,31934354.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Cecilek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ruth Dam,Jesper Kirk,Cecilek ApS,Revirk ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Thisted,2016-12-31,11.0,2016-01-01,30692777.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:24105403,indberetninger-20180424,2.5116906,28709005.0,,2018-03-29T01:16:00.310Z,2017-06-05T14:05:43.296Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-46-RU,2017-06-05T14:05:43.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
