entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdjustmentsForDeferredTax,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,PropertyCost,Revenue,TaxExpense,TaxExpenseOnOrdinaryActivities,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,FixturesFittingsToolsAndEquipment,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,PropertyPlantAndEquipmentGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,NameAndSurnameOfAuditor,NameOfAuditFirm,AdditionsToPropertyPlantAndEquipment,NameAndSurnameOfMemberOfSupervisoryBoard,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear
30716973,2011-01-01,2011-01-01,c244,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,956000.0,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716973,2011-01-01,2011-01-01,c289,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,2927619.0,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716973,2011-01-01,2011-12-31,c180,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,-210857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716973,2011-01-01,2011-12-31,c290,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,-210857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716973,2011-01-01,2011-12-31,c4,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,-210857.0,-22140.0,-4301.0,-326958.0,404357.0,21833.0,-231287.0,-319554.0,4857.0,297721.0,-237298.0,-213556.0,849200.0,26441.0,-26441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716973,2011-12-31,2011-12-31,c363,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,7371464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716973,2011-12-31,2011-12-31,c442,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,868779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716973,2011-12-31,2011-12-31,c5,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,3672762.0,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,8099150.0,12064369.0,435296.0,956000.0,582357.0,124858.0,10628.0,11471384.0,12064369.0,8391607.0,7230371.0,868779.0,11482012.0,19038.0,11482012.0,2716762.0,74578.0,292457.0,141093.0,36873.0,147061.0,4301.0,20875.0,17902.0,,,,,,,,
30716973,2012-01-01,2012-01-01,c208,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12554300.0,,,,,,,
30716973,2012-01-01,2012-01-01,c217,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8vcGRmcy8zMDcxNjk3MztBcFM0MDc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/37961703/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODU4MjBfMjU4.xml,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-07-11,2013-05-28,-7503.0,Statsaut. revisor,,30716973.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 6 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18705238,indberetninger-20180424,2.5097437,30716973.0,,2018-04-02T00:38:38.740Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-89.371,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37514.0,-26886.0,,,,,,
