entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,DividendPaid
29310947,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,0.0,0.0,0.0,2016-06-30,2015-07-01,false,false,0.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,,,,,,,,,,
29310947,2015-06-30,2015-06-30,c5,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,128010.0,10.0,125000.0,128010.0,124712.0,128010.0,3298.0,3000.0,128000.0,-288.0,3298.0,298.0,128000.0,
29310947,2015-07-01,2015-07-01,c6,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,125000.0,,,,,,,,,
29310947,2015-07-01,2015-07-01,c7,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,-288.0,,,,,,,,,
29310947,2015-07-01,2015-07-01,c8,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,124712.0,,,,,,,,,
29310947,2015-07-01,2016-06-30,c0,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-128000.0,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,-128000.0,-128000.0,-128000.0,2016-06-30,2015-07-01,false,false,0.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,,,,,,,,,,0.0
29310947,2015-07-01,2016-06-30,c1,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,,,,,,,,,,
29310947,2015-07-01,2016-06-30,c10,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,-128000.0,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,,,,,,,,,,0.0
29310947,2015-07-01,2016-06-30,c3,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,-128000.0,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,,,,,,,,,,
29310947,2015-07-01,2016-06-30,c9,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2ZkL2ExLzQ2LzM4ZGUtNDQwZS1iMjQxLWNhZmM3YzBiM2VlOA.xhtml,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzY5Lzg1L2MyL2ZlOTgtNDQ1OS1iZGMzLWI5ZjUyZjBjZTNkYw.pdf,http://regnskaber.virk.dk/74901392/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2VlLzg2LzgwL2QyNzItNDhhMy1hZWU4LTZjYmYxZWZhN2EzZA.xml,true,Roskilde,4000.0,2.0,RytterkÃ¦r,4000 Roskilde,RytterkÃ¦r 2,Regnskabsklasse B,2016-12-12,2016-12-12,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29310947.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Claus Nielsen,Claus Nielsen,XAX 1120 ApS,Gertrud Nielsen,Roskilde,2014-07-01,2015-06-30,0.0,,,2016-06-30,2015-07-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23279168,indberetninger-20180424,2.5955422,29310947.0,,2018-03-29T06:18:12.643Z,2016-12-12T08:50:56.555Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-75-KD,2016-12-12T08:50:56.753Z,,,,,,,,,,,,,,0.0
