entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,AdditionsToInvestments,OtherAdjustmentsRelatedToInvestments,GrossProfitLoss,ImpairmentOfFinancialAssets,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,AccumulatedRevaluationsOfInvestments,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTradePayables,AddressOfAuditorCountry,EmailOfAuditor,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TelephoneNumberOfAuditor,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
35836748,2017-01-01,2017-01-01,c172,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,100.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-01-01,2017-01-01,c704,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-01-01,2017-01-01,c725,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,1511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-01-01,2017-12-31,c236,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-01-01,2017-12-31,c726,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-12-31,2017-12-31,c176,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,100.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35836748,2017-12-31,2017-12-31,c237,,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2Y3L2Q4L2MyLzY5ZDYtNGY1MC04ZWQ5LTIwZTc1ZmI3YzI2Ng.pdf,http://regnskaber.virk.dk/84763853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2Q5LzE4LzA3LzM1MTMtNDU4ZS1hZGFkLThlODk2YzI2ZTk3Yg.xml,Frederiksberg,2000.0,"14, 1.","c/o Lars Steffen Jensen, Kogensvej","2100, KÃ¸benhavn Ã","LersÃ¸ Parkalle, 112",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-07-11,2019-07-11,2019-07-12,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",35836748.0,16119040.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for LSJ CONSULT IVS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lars Steffen Jensen,Lars Steffen Jensen,LSJ CONSULT IVS,"BUUS JENSEN, Statsautoriserede revisorer",Frederiksberg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-07-11,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27679564,indberetninger-20180424,2.5097404,35836748,AWvl77UfIXJRhhXBL8wA,2019-07-12T11:27:18.893Z,2019-07-12T11:26:59.637Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BW-78-MH,2019-07-12T11:26:59.921Z,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
