entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutAccountingPolicies,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutCertainSpecialItems,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutLiabilitiesDueForPaymentMoreThanFiveYearsAfterTheBalanceSheetDate,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutNumberOfEmployees,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity
36557931,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,0.0,0.0,0.0,0.0,36557931.0,0.0,0.0,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,0.0,0.0,2017-01-01,2017-12-31,0.0,0.0,0.0,2018-12-31,2018-01-01,0.0,false,0.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2017-12-31,2017-12-31,c9,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,1.0,1.0,1.0,1.0,1.0,1.0
36557931,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,0.0,0.0,0.0,0.0,36557931.0,0.0,0.0,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,0.0,0.0,2017-01-01,2017-12-31,0.0,0.0,0.0,2018-12-31,2018-01-01,0.0,false,0.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,,,,,,
36557931,2018-12-31,2018-12-31,c8,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzFkLzVlLzdkL2Q3MWUtNGQ1Ni05MzAyLTdkMDU2NTQ5MjNhMA.xhtml,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzE0LzBjLzI5L2Y4MTMtNDczYS1iMDQ3LTE3YzE5OTdhNjI2MA.pdf,http://regnskaber.virk.dk/13975563/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzNiLzQ3LzA4LzkyMDEtNDljNy1hMTkwLWI4ZTVjZDhlMzgxMA.xml,true,KÃ¸benhavn Ã,2100.0,"24, 2 tv",Marstalsgade,2100 KÃ¸benhavn Ã,"Marstalsgade 24, 2. tv","Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-09,,,,,36557931.0,,,Ãrsrapport,John Philip Randgaard,PHILIP RANDGAARD HOLDING IVS,John Philip Randgaard,,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27111921,indberetninger-20180424,2.5955422,36557931.0,AWqdseXSRYGX6_YTHjBR,2019-05-09T17:44:43.853Z,2019-05-09T17:44:02.220Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-90-BM,2019-05-09T17:44:02.473Z,1.0,1.0,1.0,1.0,1.0,1.0
