entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfAccountingPolicies,EmailOfReportingEntity,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementByExecutiveAndSupervisoryBoards,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermInvestments,ShorttermReceivables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
87972828,2016-10-01,2017-09-30,c6,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,32908.0,-32908.0,87972828.0,236329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,203421.0,203421.0,-32908.0,2018-09-30,2017-10-01,0.0,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,
87972828,2017-09-30,2017-09-30,c11,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,3992973.0,293363.0,1000000.0,3762009.0,3992973.0,230964.0,3992973.0,230964.0,3467824.0,-6796.0,230964.0,2992973.0,3467824.0,822.0,7618.0,
87972828,2017-10-01,2018-09-30,c0,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,45204.0,-45204.0,87972828.0,53463.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,8259.0,8259.0,-45204.0,2018-09-30,2017-10-01,0.0,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,
87972828,2017-10-01,2018-09-30,c1,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,
87972828,2017-10-01,2018-09-30,c2,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,Bent Kildsgaard
87972828,2017-10-01,2018-09-30,c3,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,Berit Kildsgaard
87972828,2017-10-01,2018-09-30,c4,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,Lene Jensen
87972828,2017-10-01,2018-09-30,c5,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,RenÃ© Kildsgaard
87972828,2017-10-01,2018-09-30,c7,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,0.0,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,
87972828,2017-10-01,2018-09-30,c8,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzQ3L2MzL2ZlLzAyZTItNDk3Ny04MjdjLWY4MmYwYThiYTAzNg.xhtml,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzM2LzNjL2Y1LzNiNzktNGRhZi1iZjVmLTFiZTM0ZjJjNWUxYw.pdf,http://regnskaber.virk.dk/82827978/ZG9rdW1lbnRsYWdlcjovLzAzLzU3LzliLzU1L2IyLzc0N2EtNGQ0Yy1hYzc3LWU0NDkyZGI1MjdmYg.xml,true,Danmark,DK,7430 Ikast,Bording,7441.0,57.0,Bakken,7441  Bording,Bakken 57,Regnskabsklasse B,2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">Som forrige Ã¥r</p>",berit@bkildsgaard.dk,,,87972828.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Kildsgaard,Bent Kildsgaard,Handelsbanken,B.K. ROSKILDEVEJ A/S,Bent Kildsgaard,Bording,2016-10-01,2017-09-30,0.0,,,2018-09-30,2017-10-01,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Resultatet er utilfredsstillende</p>",ja,86861552.0,false,false,Ingen bistand,urn:ofk:oid:26734622,indberetninger-20180424,2.5926342,87972828.0,AWkqI8-ZRYGX6_YTFXLW,2019-02-26T14:10:26.567Z,2019-02-26T14:09:43.082Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AB-29-JW,2019-02-26T14:09:43.256Z,,,,,,,,,,,,,,,,
