entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
70322315,2014-06-01,2015-05-31,c4,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,1.0,Regnskabsklasse B,2016-10-26,2016-10-31,16210.0,Statsautoriseret Revisor,286021.0,-287968.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,3235.0,118254.0,Lyngby,2014-06-01,2015-05-31,-475180.0,-475180.0,-590199.0,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,0.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2014-06-01,2015-05-31,c6,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,133067.0,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2014-06-01,2015-05-31,c8,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,-608247.0,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2015-05-31,2015-05-31,c10,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,6038565.0,895190.0,200000.0,4614792.0,10250.0,6002637.0,680809.0,6038565.0,35928.0,742964.0,49000.0,1423773.0,693964.0,3650458.0,30087.0,42715.0,680809.0,133067.0,5669570.0,3650458.0,35928.0,69144.0,0.0,5841.0,16179.0,,,,
70322315,2015-06-01,2015-06-01,c11,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,
70322315,2015-06-01,2015-06-01,c12,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,5669570.0,,,,,,,,,,,,,,,,,,,,,,,
70322315,2015-06-01,2015-06-01,c13,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,133067.0,,,,,,,,,,,,,,,,,,,,,,,
70322315,2015-06-01,2015-06-01,c14,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,6002637.0,,,,,,,,,,,,,,,,,,,,,,,
70322315,2015-06-01,2016-05-31,c0,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,1.0,Regnskabsklasse B,2016-10-26,2016-10-31,16210.0,Statsautoriseret Revisor,312217.0,15000.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,12644.0,20105.0,Lyngby,2014-06-01,2015-05-31,-305966.0,-305966.0,-313427.0,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,0.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,133067.0,,,
70322315,2015-06-01,2016-05-31,c1,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzkzL2FiLzAzL2NhNjgtNDVlNi04NmZkLTAwNDc4ZmVjMDM4Mg.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzE5LzczLzFhL2RiODMtNGMzMy1iOWM3LTUyNzllNzZiMDAyNg.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2Lzc3L2Q5L2Y4L2E3ZDMtNGY3MS1iNTgwLTc4ZTdjMGU3MTRmNw.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2100.0,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,,Regnskabsklasse B,2016-10-26,2016-10-31,,Statsautoriseret Revisor,,,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo,C.G.S. DANMARK ApS,MBA Revision / Michael Bo Andersen,,,Lyngby,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-10-26,Kgs. Lyngby,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23149269,indberetninger-20180424,2.59278,70322315.0,,2018-03-28T20:59:29.138Z,2016-11-14T09:09:42.187Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BG-79-FE,2016-11-14T09:09:42.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,33150482.0,MBA STATSAUTORISERET REVISIONSANPARTSSELSKAB,
