entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
70322315,2013-06-01,2014-05-31,c4,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,48685.0,Statsautoriseret revisor,253447.0,-264316.0,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,0.0,106384.0,Lyngby,2013-06-01,2014-05-31,-460064.0,-460064.0,-566448.0,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2013-06-01,2014-05-31,c6,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,131200.0,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2013-06-01,2014-05-31,c8,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,-591264.0,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2014-05-31,2014-05-31,c10,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,6676174.0,1198782.0,200000.0,4634190.0,16812.0,6609017.0,0.0,37046.0,697020.0,6676174.0,67157.0,1344964.0,51000.0,37046.0,2041984.0,1293964.0,3313100.0,62097.0,52276.0,697020.0,131200.0,6277817.0,3313100.0,67157.0,85262.0,0.0,5060.0,16174.0,,
70322315,2014-06-01,2015-05-31,c0,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,16210.0,Statsautoriseret revisor,286021.0,-287968.0,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,3235.0,118254.0,Lyngby,2013-06-01,2014-05-31,-475180.0,-475180.0,-590199.0,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2014-06-01,2015-05-31,c1,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBA STATSAUTORISERET REVISIONSANPARTSSELSKAB,
70322315,2014-06-01,2015-05-31,c2,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Girbo-SÃ¸rensen
70322315,2014-06-01,2015-05-31,c3,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÃ¸ren Lense Girbo-SÃ¸rensen
70322315,2014-06-01,2015-05-31,c5,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,133067.0,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2014-06-01,2015-05-31,c7,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2U3L2Q0LzVmLzJjLzc5NTYtNDdlOC1hNTllLTFjZDg3MDA2MmRkOQ.xhtml,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzL2RkL2Q3LzUyLzAxL2JlNmQtNDE3NS04ZTBmLWE5NjQ5YzQ5NDA5Mw.pdf,http://regnskaber.virk.dk/51322307/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2Y1LzM3LzgxLzQ4Y2EtNDliMS04NmUzLWM2M2MwYzY0ZmRmNg.xml,Danmark,DK,Kgs. Lyngby,"54, 1",Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Kgs. Lyngby,"Lyngby Hovedgade 54 A, 1. sal",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-29,2015-10-29,,Statsautoriseret revisor,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2013-06-01,2014-05-31,-608247.0,,,2015-05-31,2014-06-01,2015-10-29,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21576696,indberetninger-20180424,2.5949402000000004,70322315.0,,2018-03-30T11:13:44.378Z,2015-10-30T10:32:51.019Z,regnskab,0.0,,2015-05-31,2014-06-01,X15-AJ-13-NC,2015-10-30T10:32:51.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
