entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
14485902,2017-01-01,2017-12-31,ID_17,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,38.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14485902,2017-01-01,2017-12-31,ID_18,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,121615.0,18146988.0,18170857.0,246550.0,3960.0,16396.0,-306380.0,-356732.0,-114142.0,-50352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14485902,2017-01-01,2017-12-31,ID_20,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,-306380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14485902,2017-12-31,2017-12-31,ID_15,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,,,,,9442366.0,2691610.0,200000.0,4686701.0,3750501.0,107769.0,4647896.0,9442366.0,5003539.0,648093.0,648093.0,4755665.0,2432164.0,4755665.0,688326.0,688326.0,2642330.0,908171.0,4355446.0,55000.0,1790075.0,1995091.0,14000.0,78207.0,1981091.0,,,
14485902,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,88138.0,19150478.0,19788368.0,199976.0,247.0,0.0,315373.0,350023.0,549752.0,34650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14485902,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14485902,2018-01-01,2018-12-31,ID_10,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Frederik Rehfeld,Bestyrelsesformand,
14485902,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steen  Stender,Bestyrelsesmedlem,
14485902,2018-01-01,2018-12-31,ID_12,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex  Ãfeldt,Bestyrelsesmedlem,
14485902,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlLzMyLzEzLzNiL2IwNzYtNDA1Ni1iNTM4LWMwNjM1ZWVhYjcyZg.pdf,http://regnskaber.virk.dk/20958441/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzllL2M2LzBkLzQ2MDUtNDljZS1iODc5LWEyOWE0ODcxZTAyNw.xml,true,"Nakskov, 4900",Vejlegade 41,Til kapitalejerne i Ãfeldt Centrene ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-04,2019-04-04,1990-08-01,2019-04-04,46 15 51 60,35050469.0,14485902.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Ãfeldt Centrene ApS.,Ãrsrapport,JÃ¸rn Christensen,Jens Frederik Rehfeld,AC Revision Aps,Danske Bank,Steffen Schleimann (H),Ãfeldt Centrene ApS,AC Revision Aps,Karlslunde,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,false,2019-04-04,Nakskov,46 15 24 28,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26952489,indberetninger-20180424,2.5097437,14485902.0,AWn74cS7RYGX6_YTGrtF,2019-04-08T07:38:04.304Z,2019-04-08T07:37:50.291Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-61-UJ,2019-04-08T07:37:50.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorthe Ãfeldt,Bestyrelsesmedlem,
