entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfExtraordinaryDividendDistributedAfterEndOfReportingPeriod,DateOfGeneralMeeting,ExtraordinaryDividendDistributedAfterEndOfReportingPeriod,ExtraordinaryDividendDistributedAfterEndOfReportingPeriodGross,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,LongtermInvestmentsInAssociates,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,NumberOfEmployees,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,ReserveForNetRevaluationAccordingToEquityMethod,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermPayablesToGroupEnterprises,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,EmployeeBenefitsExpense,GrossResult,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgressAndPrepaymentsForPropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables
33372507,2015-01-01,2015-01-01,c11,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,1.0,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33372507,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,1.0,1175982.0,-289796.0,2151113.0,-3662.0,134164.0,823161.0,823161.0,-1465778.0,,,,,,,,,,,,,,,,,,,,,,,
33372507,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
33372507,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,-1176839.0,,,,,,,,,,,,,,,,,,,,,,,,,
33372507,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,1.0,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,,,,22503727.0,11079926.0,500000.0,14317477.0,22320693.0,1076250.0,1895000.0,22503727.0,183034.0,2440000.0,8186250.0,2440000.0,2825668.0,183034.0,0.0,5746250.0,2775000.0,2000000.0,19820693.0,2825668.0,183034.0,411883.0,411883.0
33372507,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,0.0,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33372507,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,0.0,0.0,-68465.0,338300.0,334259.0,156889.0,92465.0,92465.0,-68465.0,,,,,,,,,,,,,,,,,,,,,,,
33372507,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33372507,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
33372507,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzcwL2I2LzBjLzhmLzMwOTEtNDlmMi04YmE0LTc3ZTFhYTI4NDhiNw.xhtml,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2VkLzAxLzg1LzlhZGEtNDQyMC1hYzEzLTg3YzNkMmYyZGI2Ng.pdf,http://regnskaber.virk.dk/70527333/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzU4LzBiLzg4L2U0NmYtNDYwYi04Y2FkLWY5YTg5YmNmNzQ5MA.xml,true,Danmark,DK,Holstebro,7500.0,Holstebro Afdeling,Holstebro,7500.0,22.0,Rudesvej,7500 Holstebro,BisgÃ¥rden 2,Regnskabsklasse B,2017-01-06,2017-03-02,1500000.0,1500000.0,33372507.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Lars Frederiksen,Lars Frederiksen,RingkjÃ¸bing Landbobank,KJÃRGAARD-FREDERIKSEN HOLDING ApS,Nordvestjysk ErhvervsrÃ¥dgivning,,Holstebro,2015-01-01,2015-12-31,2016-12-31,2016-01-01,0.0,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23566552,indberetninger-20180424,2.5949402000000004,33372507.0,,2018-03-27T21:45:06.756Z,2017-03-07T15:05:19.555Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-27-WG,2017-03-07T15:05:19.770Z,,,,,,,92465.0,,,,,,,,,,,,,,,,,,,,,,,,,
