entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdministrativeExpenses,GrossResult,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
28686552,2014-01-01,2014-12-31,c10,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,-207.0,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,,,,,,,,,,,,,,,,,
28686552,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,-207.0,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,8919.0,0.0,11098.0,20204.0,187.0,-8919.0,394.0,,,,,,,,,,,,,,,,,
28686552,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,0.0,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,,,,,,,,,,,,,,,,,
28686552,2014-01-01,2014-12-31,c8,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,0.0,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,,,,,,,,,,,,,,,,,
28686552,2014-12-31,2014-12-31,c12,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,2418213.0,1870552.0,225000.0,2418213.0,2390541.0,2418213.0,27672.0,2165541.0,536931.0,20172.0,10453.0,536931.0,27672.0,10730.0,277.0,7500.0,
28686552,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,-8282.0,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,10415.0,0.0,21402.0,23531.0,-8286.0,-10415.0,-4.0,,,,,,,,,,,,,,,,,
28686552,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,,,,,,,,,,,,,,,,,Niels Arne Holt
28686552,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,,,,,,,,,,,,,,,,,Aase Holt
28686552,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,,,,,,,,,,,,,,,,,Cecilie Holt Nielsen
28686552,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzgzL2YwL2Q2LzBmYzQtNGUxMC1hOGNlLWE2MWJmMjAxNWEzYw.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzE0LzIwL2VmL2JiLzY2NTItNDFhNi1hMWE1LTc3NzJhMDI1MzE1Yw.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzljLzViLzA2LzgwZDctNDk5ZC1iZTNhLWJmMmFkODI1ZTc1Mg.xml,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2016-01-21,2016-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,revisionsfirma mogens balle,Holte,2014-01-01,2014-12-31,0.0,2015-12-31,2015-01-01,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:22733482,indberetninger-20180424,2.5955582,28686552.0,,2018-03-29T11:25:28.613Z,2016-06-20T04:14:42.141Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AN-85-RA,2016-06-20T04:14:42.273Z,,,,,,,,,,,,,,,,,,,,,,,,
