entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdministrativeExpenses,GrossResult,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
28686552,2015-01-01,2015-12-31,c10,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,-8282.0,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,,,,,,,,,,,,,,,,,
28686552,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,-8282.0,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,10415.0,0.0,21402.0,23531.0,-8286.0,-10415.0,-4.0,,,,,,,,,,,,,,,,,
28686552,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,0.0,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,,,,,,,,,,,,,,,,,
28686552,2015-01-01,2015-12-31,c8,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,0.0,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,,,,,,,,,,,,,,,,,
28686552,2015-12-31,2015-12-31,c12,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,2409931.0,1882702.0,225000.0,2409931.0,2382259.0,2409931.0,27672.0,2157259.0,515529.0,20172.0,10453.0,515529.0,27672.0,11700.0,1247.0,7500.0,
28686552,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,32613.0,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,9505.0,0.0,352.0,42470.0,32613.0,-9505.0,0.0,,,,,,,,,,,,,,,,,
28686552,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,,,,,,,,,,,,,,,,,Niels Arne Holt
28686552,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,,,,,,,,,,,,,,,,,Aase Holt
28686552,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,,,,,,,,,,,,,,,,,Cecilie Holt Nielsen
28686552,2016-01-01,2016-12-31,c9,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzY0LzIwL2I4LzE2OWEtNDA0NC04MDlkLWFmNjMyMjliNDIzMg.xhtml,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzLzgwL2M3LzMyLzJjLzdjNTUtNGE1Yy1hMDZkLTJkMmRmMzYxNmI5Ng.pdf,http://regnskaber.virk.dk/25568682/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzJlLzVlLzkyL2U0NTktNDNhNS05Yzk1LTU0MGJhOWE5ZTdiNg.xml,true,Holte,2840.0,14.0,Brandbakken,2300 KÃ¸benhavn S,Poul Hartlings Gade 6,Regnskabsklasse B,2017-05-21,2017-06-07,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",28686552.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Arne Holt,ACEA ApS,Mogens Balle,Holte,2015-01-01,2015-12-31,32613.0,2016-12-31,2016-01-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Ingen bistand,urn:ofk:oid:24193377,indberetninger-20180424,2.595406,28686552.0,,2018-03-29T09:48:22.317Z,2017-06-13T15:17:55.283Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-69-XM,2017-06-13T15:17:55.491Z,,,,,,,,,,,,,,,,,,,,,,,,
