entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,EmailOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,ProposedDividend,RetainedEarnings,RevaluationReserve,SharePremium,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2010-07-01,2011-06-30,ID_11,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,3000000.0,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_13,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,2253659.0,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_15,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,5253659.0,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_9,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,507456.0,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,-229098.0,926045.0,-187565.0,-239852.0,509382.0,-229098.0,-1926.0,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_17,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,10366469.0,1315707.0,-125000.0,7266978.0,-9906469.0,-10366469.0,-460000.0,3099491.0,3099491.0,6511480.0,-450000.0,-3006978.0,-2899491.0,-3875000.0,6511480.0,-460000.0,-560209.0,157417.0,-717626.0,-10000.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_10,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,0.0,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_12,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,-1054505.0,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8vcGRmcy8yNjUzMTg1MztBcFMyOTgwNTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/35813562/Y3ZyLmRrOi8veGJybHMvWC1DNzczODdFMS0yMDEyMTAxN18xMzEyMzRfNDg3.xml,"2791, DragÃ¸r",Nordstrands Alle 5,"2770, Kastrup",TÃ¸mmerupvej 75,Til ejerne i Video-Nic Holding Aps,Regnskabsklasse B,2012-10-12,2002-03-25,2012-10-12,Registreret revisor,nicolin [fnj@youseepost.dk],26531853.0,"Vi har revideret Ã¥rsregnskabet for Video-Nic Holding Aps for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Susanne  Fagerli-Nielsen,Finn Nikolin JÃ¸rgensen,Finn Nikolin  JÃ¸rgensen,Revisionsfirmaet Gutfelt & Partnere A/S,Video-Nic Holding Aps,Revisionsfirmaet Gutfelt & Partnere A/S,Kastrup,-1054505.0,"155, DragÃ¸r",2012-06-30,2011-07-01,32 53 53 34,DirektÃ¸r,urn:ofk:oid:13447396,indberetninger-20180424,2.5124277999999998,26531853.0,,2018-04-02T04:20:24.560Z,2012-10-17T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.216,2012-10-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
