entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AccumulatedRevaluationsOfInvestments,AdditionsToInvestments,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForCurrentTaxRelatingToTaxRateChangesOrImpositionOfNewTaxes,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisposalsOfInvestments,DividendPaid,EmployeeBenefitsExpense,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,ImpairmentOfFinancialAssets,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,OtherInterestIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance
30087194,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,79482.0,12160.0,2.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",0.0,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,480000.0,522603.0,-522603.0,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,1582815.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,909969.0,909969.0,Rungsted,2016-01-01,2016-12-31,-1767091.0,-1675449.0,-1002603.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,91642.0,480000.0,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,,,,,,,,,,,,,,,,,
30087194,2016-01-01,2016-12-31,c177,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,101200.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,,,,,,,,,,,,,,,,,
30087194,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,-1868291.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,,,,,,,,,,,,,,,,,
30087194,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,18868015.0,83292.0,125000.0,137407.0,40000.0,18795004.0,18868015.0,73011.0,17461013.0,17461013.0,17461013.0,73011.0,1100870.0,101200.0,18568804.0,73011.0,1323710.0,0.0,45433.0,,,
30087194,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,125000.0,,,,,,,,,,,,,,,,
30087194,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,18568804.0,,,,,,,,,,,,,,,,
30087194,2017-01-01,2017-01-01,c257,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,101200.0,,,,,,,,,,,,,,,,
30087194,2017-01-01,2017-01-01,c570,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,,,,,,,,,,,,,,,17461014.0,,
30087194,2017-01-01,2017-12-31,c173,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,137407.0,0.0,2.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",255156.0,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,540000.0,167583.0,-167583.0,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,0.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,2387741.0,2387741.0,Rungsted,2016-01-01,2016-12-31,1287595.0,1680158.0,-707583.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,392563.0,540000.0,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
30087194,2017-01-01,2017-12-31,c176,,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2I0L2IzL2Q0LzQwNjItNDJlNy1hYWQwLTk2MjczZGQzYjRkMg.pdf,http://regnskaber.virk.dk/49178003/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFhL2U3LzljL2I5MWUtNDc2ZS1iODdhLTBmMTllZmNmNmFmYg.xml,true,599467.0,18693973.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,VedbÃ¦k,2950.0,430.0,VedbÃ¦k Strandvej,2960 Rungsted Kyst,Rungsted Strandvej 49,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Damgaard Holding 2006 ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-03-12,2006-12-05,2018-03-23,Statsautoriseret revisor,17270967.0,-101200.0,,,,20222670.0,30087194.0,20222670.0,mne10425,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Damgaard Holding 2006 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Klit Andersen,Carl Johan Damgaard,Carl Johan Damgaard,Nykredit Bank,JÃ¸rgen Lange,Damgaard Holding 2006 ApS,BDO Statsautoriseret revisionsaktieselskab,,,Rungsted,2016-01-01,2016-12-31,405800.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Rungsted,2017-12-31,2017-01-01,599467.0,true,2018-03-12,KÃ¸benhavn,,,urn:ofk:oid:25225950,indberetninger-20180424,2.5117037,30087194.0,,2018-04-04T10:34:23.608Z,2018-03-23T15:17:50.427Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-48-HB,2018-03-23T15:17:50.558Z,,,,,,,,,,,,,,,,,,,,,,
