entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
16224014,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,217290.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16224014,2015-01-01,2015-12-31,ID_6,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,-67290.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,23754.0,90967.0,58258.0,3632.0,-60096.0,-56463.0,7194.0,,,,,,,,,,,,,,,,,,,,,,
16224014,2015-01-01,2015-12-31,ID_8,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,-150000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16224014,2015-12-31,2015-12-31,ID_12,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,2529629.0,896216.0,555333.0,896216.0,0.0,2367756.0,1633413.0,2529629.0,144691.0,1633413.0,110941.0,1633413.0,150000.0,17182.0,17182.0,1662423.0,144691.0,0.0,33750.0,,,
16224014,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,67246.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,23754.0,0.0,86507.0,241.0,62512.0,62753.0,-4734.0,,,,,,,,,,,,,,,,,,,,,,
16224014,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirsten PrÃ¦stiin,,
16224014,2016-01-01,2016-12-31,ID_13,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16224014,2016-01-01,2016-12-31,ID_14,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16224014,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inge  Aalstrup,Bestyrelsesformand
16224014,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2QwL2E0Lzg4L2M5L2ZlNDctNDY2NS05MGUwLTIyMTBjOGI4NmNiOA.pdf,http://regnskaber.virk.dk/41042261/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzRmLzAzL2UzLzYxMGUtNGJmMi1hNzNhLWY4OWQzOGZmMzM5Mg.xml,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i A/S af 1946,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-01-26,2017-01-26,1946-06-06,2017-02-20,36563877.0,16224014.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for A/S af 1946.,Ãrsrapport,Inge Aalstrup,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,A/S af 1946,LMO Erhvervsrevision Godkendt Revisionsaktieselskab,Juelsminde,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-01-26,Horsens,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23501483,indberetninger-20180424,2.5118406,16224014.0,,2018-03-27T16:49:58.534Z,2017-02-21T07:43:49.994Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-90-RU,2017-02-21T07:43:50.177Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirsten PrÃ¦stiin,Bestyrelsesmedlem
