entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprises,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,LiabilitiesOtherThanProvisions,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,SharePremium,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
28672489,2012-07-01,2013-06-30,c4,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",766923.0,757083.0,28672489.0,760743.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,3660.0,41190.0,51030.0,ThyborÃ¸n,2012-07-01,2013-06-30,765473.0,766923.0,757083.0,2014-06-30,2013-07-01,1450.0,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,
28672489,2012-07-01,2013-06-30,c6,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,760743.0,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,
28672489,2012-07-01,2013-06-30,c8,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,4730.0,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,
28672489,2013-06-30,2013-06-30,c10,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,4191388.0,1638.0,125000.0,1192841.0,4191388.0,4191388.0,2998547.0,2954517.0,2998547.0,44030.0,2454517.0,-263129.0,1875000.0,1191203.0,1051212.0,139991.0,
28672489,2013-07-01,2014-06-30,c0,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",493619.0,434352.0,28672489.0,440712.0,17850.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,6360.0,1521.0,42938.0,ThyborÃ¸n,2012-07-01,2013-06-30,480413.0,493619.0,434352.0,2014-06-30,2013-07-01,13206.0,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,
28672489,2013-07-01,2014-06-30,c1,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,
28672489,2013-07-01,2014-06-30,c2,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,Martin Christensen
28672489,2013-07-01,2014-06-30,c3,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,JÃ¸rgen Ulrik Riise
28672489,2013-07-01,2014-06-30,c5,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,440712.0,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,
28672489,2013-07-01,2014-06-30,c7,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8vcGRmcy8yODY3MjQ4OTtBcFMzODkzMjQ7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/98427682/Y3ZyLmRrOi8veGJybHMvWC04RDBDQzQzNC0yMDE0MTIxMV8xODQwNDZfODI2.xml,ThyborÃ¸n,7680.0,26.0,Havnegade,7680 ThyborÃ¸n,Havnegade 26,Regnskabsklasse B,2014-12-09,2014-12-11,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at fungere som holdingselskab.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,28672489.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,JÃ¸rgen Riise,JÃ¸rgen Ulrik Riise,MJ HOLDING THYBORÃN ApS,JÃ¸rgen Riise,,,,ThyborÃ¸n,2012-07-01,2013-06-30,39701.0,,,2014-06-30,2013-07-01,,Ingen bistand,urn:ofk:oid:18029252,indberetninger-20180424,2.5124211,28672489.0,,2018-04-01T04:37:40.182Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-312.812,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,
