entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdministrativeExpenses,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,DistributionCosts,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
16861340,2013-07-01,2014-06-30,c4,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,217228.0,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",113502.0,86379755.0,1246741.0,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,1606.0,227120.0,Thorsager,2013-07-01,2014-06-30,865146.0,1141525.0,916011.0,2015-06-30,2014-07-01,2015-10-08,Thorsager,276379.0,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
16861340,2013-07-01,2014-06-30,c6,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,196800.0,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
16861340,2013-07-01,2014-06-30,c8,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,668346.0,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
16861340,2014-06-30,2014-06-30,c10,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,6456901.0,219513.0,200000.0,5002494.0,5372876.0,123790.0,1419622.0,6456901.0,919504.0,1454407.0,520861.0,28860.0,34785.0,1454407.0,196800.0,164521.0,164521.0,123790.0,4976076.0,919504.0,166140.0,4659191.0,4208968.0,232503.0,421363.0,,
16861340,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,193677.0,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",105686.0,86379755.0,1210256.0,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,7613.0,283131.0,Thorsager,2013-07-01,2014-06-30,914148.0,1186411.0,910893.0,2015-06-30,2014-07-01,2015-10-08,Thorsager,272263.0,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
16861340,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,Revisionsfirmaet Tommy Larsen,
16861340,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrik Als Lillie
16861340,2014-07-01,2015-06-30,c3,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,AsbjÃ¸rn Villadsen
16861340,2014-07-01,2015-06-30,c5,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,199600.0,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
16861340,2014-07-01,2015-06-30,c7,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzkyL2U4L2UyLzA4ODctNGM2Mi1iNzg4LTY2YmM3OGZiYTA2MA.xhtml,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzY3L2QwLzVhLzkyMjItNGZkOS1iOGZmLTE1MTM4NTdkZjFlNQ.pdf,http://regnskaber.virk.dk/04316861/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzhjLzdkLzMwLzNiNTEtNDZiNy05NDFmLTQxOGY0N2NlMjQ4Zg.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,RÃ¸nde,8410.0,9.0,NÃ¸rregade,8410 RÃ¸nde,Thorsgade 46,Til den daglige ledelse i Thorsager Auto ApS.,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-10-08,2015-11-17,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive autovÃ¦rksted, herunder kÃ¸b og salg og dermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,86379755.0,,98727558.0,16861340.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,AsbjÃ¸rn Villadsen,THORSAGER AUTO ApS,Revisionsfirmaet Tommy Larsen,,,Thorsager,2013-07-01,2014-06-30,714548.0,,,2015-06-30,2014-07-01,2015-10-08,Thorsager,,86379777.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21652889,indberetninger-20180424,2.5955422,16861340.0,,2018-03-30T15:01:59.935Z,2015-11-24T10:18:41.846Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-42-DB,2015-11-24T10:18:42.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
