entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
26923387,2017-01-01,2017-12-31,ID_6,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,,,,,,,,,,,,,,,,,
26923387,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,-4000.0,-3120.0,-4000.0,-4000.0,-880.0,,,,,,,,,,,,,
26923387,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,-3120.0,,,,,,,,,,,,,,,,
26923387,2017-12-31,2017-12-31,ID_4,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,,,,,14925.0,125000.0,14925.0,2145.0,4925.0,14925.0,10000.0,-120075.0,10000.0,14925.0,12780.0,10000.0,
26923387,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,,,,,,,,,,,,,,,,,Lars Tegl Rasmussen
26923387,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,,,,,,,,,,,,,,,,,
26923387,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,-4000.0,-3120.0,-4000.0,-4000.0,-880.0,,,,,,,,,,,,,
26923387,2018-01-01,2018-12-31,ID_5,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,,,,,,,,,,,,,,,,,
26923387,2018-01-01,2018-12-31,ID_8,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,-3120.0,,,,,,,,,,,,,,,,
26923387,2018-12-31,2018-12-31,ID_3,,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzQ3LzQ4L2YyLzQ4YWItNDkwOC1iMTNjLWQ2YWRlZGI0ZjI3MQ.pdf,http://regnskaber.virk.dk/78332962/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2IyLzI3LzE0LzA0MTktNDVhZi04MTE5LTA3NjcyODNjYmI2Nw.xml,true,"Allinge, 3770",Strandvejen 119,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-04-29,2019-04-29,2002-12-18,2019-05-03,26923387.0,10250080.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Tegl Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Tegl Rasmussen,Tegl Holding ApS,Hakon Dahm Spliid,Ringsted,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"329, Ringsted",2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27080473,indberetninger-20180424,2.5118406,26923387.0,AWqMCL0oRYGX6_YTHbDJ,2019-05-06T07:26:12.725Z,2019-05-06T07:25:43.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-69-SN,2019-05-06T07:25:43.688Z,,,,,,5805.0,125000.0,5805.0,3025.0,1805.0,5805.0,4000.0,-123195.0,4000.0,5805.0,2780.0,4000.0,
