entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables
entity identifier,2010-10-01,2011-09-30,ID_11,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",0.0,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_13,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",3656.0,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_15,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",-60951.0,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_17,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",-57295.0,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_9,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",57295.0,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,20947.0,-3656.0,60387.0,-67.0,77611.0,20947.0,-20316.0,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-09-30,2011-09-30,ID_19,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,5453714.0,18953.0,-125000.0,81689.0,56986.0,-4065222.0,1039243.0,-5453714.0,-1388492.0,4332782.0,4332782.0,5372025.0,-24000.0,5750.0,1039243.0,0.0,274337.0,267560.0,-4482119.0,-1388492.0,-1291781.0,-72711.0,62736.0
entity identifier,2011-10-01,2012-09-30,ID_0,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_1,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_10,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",96000.0,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_12,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8vcGRmcy8zMTg5MDY4MztBcFM0NDgxNTY7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/38609813/Y3ZyLmRrOi8veGJybHMvWC0yQTQ4QjU1QS0yMDEzMDIyOF8xMjEwMTBfNjQ0.xml,"7790, Thyholm","Hvidbjerg, Ãstergade 2","7790, Thyholm","Jernbanegade 10, Hvidbjerg","Struer, 7600",Ved Fjorden 25,Til kapitalejerne i Jan Jakobsen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2008-12-19,2013-02-27,Registreret revisor,31890683.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Jan Jakobsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jan Jakobsen Holding ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Klaus Viborg Pedersen,Jan Jakobsen,Jan Jakobsen,"Revision Limfjord, Registreret Revisionsaktieselskab",Hvidbjerg Bank,Jan Jakobsen Holding ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",112707.0,2012-09-30,2011-10-01,2013-02-22,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:19998878,indberetninger-20180424,2.5097403999999996,31890683.0,,2018-04-01T18:52:00.458Z,2013-03-03T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.297,2013-03-03T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
