entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,DividendIncomeRelatedToInvestments,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables
32338445,2013-01-01,2013-01-01,c176,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,0.0,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,1550000.0,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-01-01,c723,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-01-01,c741,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,1470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-01-01,c744,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-12-31,c109,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,,140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-12-31,c123,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,,-233000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-12-31,c178,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,,,0.0,-80000.0,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-12-31,c3,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,,-93000.0,,,-14000.0,-80000.0,0.0,-94000.0,-14000.0,-1000.0,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-12-31,c474,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32338445,2013-01-01,2013-12-31,c736,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8vcGRmcy8zMjMzODQ0NTtBcFM1MzIwMTY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54483323/Y3ZyLmRrOi8veGJybHMvWC01QjVERTExMS0yMDE1MDMxN18xODA5MzVfMDkz.xml,,Nordborg,6430.0,24.0,Tontoft,"6400, SÃ¸nderborg","Jyllandsgade, 28",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-04,2015-03-04,2014-06-05,2015-03-12,32338445.0,18061635.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Kallehave Holding ApS.,Ãrsrapport,,Jan Christian Kallehave,Jan Christian Kallehave,FrÃ¸s Herreds Sparekasse,Kallehave Holding ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Nordborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,SÃ¸nderborg,ApS,Kallehave StÃ¥l & Montage ApS,Nordborg,2014-12-31,2014-01-01,100.0,2015-03-04,SÃ¸nderborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15040553,indberetninger-20180424,2.5124211,32338445.0,,2018-03-30T17:55:21.591Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-166.916,2015-03-18T23:00:00.000Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
