entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermPayables,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
35465626,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,-7500.0,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,777557.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",2969.0,0.0,Odense,2016-01-01,2016-12-31,768738.0,767088.0,-7500.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,-1650.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,
35465626,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,-768738.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,
35465626,2016-12-31,2016-12-31,ID_6,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,1655126.0,655919.0,80000.0,657569.0,1650.0,853001.0,1655126.0,802125.0,997557.0,997557.0,305556.0,997557.0,305556.0,0.0,773001.0,496569.0,333333.0,15736.0,140000.0,1650.0,0.0,0.0,0.0,7500.0,
35465626,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,-6876.0,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,0.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",273.0,36067.0,Odense,2016-01-01,2016-12-31,22495.0,28918.0,-6876.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,6423.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,
35465626,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,
35465626,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,
35465626,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,Yoel Alexander Caspersen
35465626,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,
35465626,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,-22495.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,,,,,,,,,,,,,,,,,,,,,,,,,
35465626,2017-12-31,2017-12-31,ID_5,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzA4L2QxL2YzLzhhY2QtNDY3YS1iOGNlLTFkN2VlOTVmZTM5YQ.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzRhL2UwL2JlLzkwODMtNDQ2Zi1hYmY1LTg4YzFlYzgzMmE0Mw.xml,true,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-06,2018-06-06,2013-08-25,2018-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Netaccount Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25739985,indberetninger-20180424,2.5118417999999996,35465626.0,AWPWzvZZ0wkEsASktfHF,2018-06-06T20:35:16.994Z,2018-06-06T20:34:36.639Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-32-WY,2018-06-06T20:34:36.898Z,1351061.0,43504.0,80000.0,353504.0,0.0,875496.0,1351061.0,475565.0,997557.0,997557.0,0.0,997557.0,0.0,305556.0,795496.0,475565.0,0.0,17736.0,140000.0,310000.0,290000.0,4773.0,20000.0,7500.0,
