entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
35465626,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,-6876.0,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",273.0,36067.0,Odense,2017-01-01,2017-12-31,22495.0,28918.0,-6876.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,6423.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,
35465626,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,22495.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,
35465626,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,1351061.0,43504.0,80000.0,353504.0,875496.0,1351061.0,475565.0,997557.0,997557.0,997557.0,305556.0,795496.0,475565.0,17736.0,140000.0,310000.0,290000.0,4773.0,20000.0,7500.0,
35465626,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,-8300.0,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",142.0,10200.0,Odense,2017-01-01,2017-12-31,1340.0,1758.0,-8300.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,418.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,
35465626,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,
35465626,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,
35465626,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,Yoel Alexander Caspersen
35465626,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,
35465626,2018-01-01,2018-12-31,ID_8,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,1340.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,,,,,,,,,,,,,,,,,,,,,
35465626,2018-12-31,2018-12-31,ID_5,,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2ExLzMyLzdhLzkzMjYtNGUyMC1iYTUwLWQ5ZmQ2OTEyNjgwMg.pdf,http://regnskaber.virk.dk/62656453/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2VlLzk3L2JlLzY5ZDQtNDZmNi05NzhiLWFjNGI3ZTI4MDA3MA.xml,true,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Netaccount Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-06,2019-06-06,2013-08-25,2019-06-06,info@netaccount.dk,,10092159.0,35465626.0,10092159.0,mne10288,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Netaccount Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Hansen,Yoel Alexander Caspersen,Revisionsfirmaet Leif Vesterlund,Netaccount Holding ApS,"Revisionsfirmaet Leif Vesterlund , Registreret Revisionsanpartsselskab",,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-06-06,Belllinge,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27438000,indberetninger-20180424,2.5124327999999996,35465626.0,AWswykN1RYGX6_YTIhxL,2019-06-07T07:15:04.258Z,2019-06-07T07:14:49.944Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-UZ,2019-06-07T07:14:50.141Z,1036263.0,32706.0,80000.0,38706.0,876836.0,1036263.0,159427.0,997557.0,997557.0,997557.0,0.0,796836.0,159427.0,11509.0,140000.0,6000.0,0.0,418.0,6000.0,7500.0,
