entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
78538511,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",16542.0,-16542.0,78538511.0,72768.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,49142.0,56226.0,-16542.0,2017-12-31,2017-01-01,false,false,7084.0,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,
78538511,2016-01-01,2016-12-31,c7,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,103400.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,
78538511,2016-01-01,2016-12-31,c9,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,-54258.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,
78538511,2016-12-31,2016-12-31,c11,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,1270908.0,175388.0,300000.0,180950.0,1256324.0,1270908.0,14584.0,1089958.0,3084.0,3084.0,1089958.0,1089958.0,11500.0,5562.0,103400.0,852924.0,11500.0,5562.0,
78538511,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",16563.0,-16563.0,78538511.0,66485.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,36099.0,46307.0,-16563.0,2017-12-31,2017-01-01,false,false,10208.0,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,
78538511,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,
78538511,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,SÃ¸ren Kristian Just
78538511,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,Inger Just
78538511,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,Mette Just Danielsen
78538511,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzI0L2NhLzY2L2I4NzAtNDhmYy1iOThiLWMzM2JlMmZkYzIxNA.xhtml,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2NlL2FkL2U0LzU5ZWYtNDFiOC1hODM2LTRiZWZjYTdiMGI4Mw.pdf,http://regnskaber.virk.dk/11583587/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2E4LzdhLzI2LzdhYmItNGZlZS1iMjA4LWExNWYyYjE3MGE0Ng.xml,true,Danmark,DK,Varde,6800.0,Vestergade 4,Varde,6800.0,39.0,Hyldehaven,2820 Gentofte,Ericavej 40,Regnskabsklasse B,2018-04-19,2018-04-19,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke foretaget sikkerhedsstillelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen eventualposter</p>",,,78538511.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Kristian Just,Inger Just,Sydbank,VVD INVEST ApS,Mette Just,3615.0,Varde,2016-01-01,2016-12-31,90000.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25365872,indberetninger-20180424,2.5949414,78538511.0,AWMBSqNKx8uVRSOdgBRO,2018-04-26T09:31:34.730Z,2018-04-26T09:30:54.974Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-94-KN,2018-04-26T09:30:55.350Z,,,,,,,,,,,,,,,,,,,
