entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,DisclosureOfInventories,DisclosureOfProvisions,DisclosureOfReceivables,ExplanationOfPrepayments,GrossProfitLoss,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnContractWorkInProgress,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermReceivablesFromAssociates,NoncurrentAssets,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables
entity identifier,2010-05-01,2011-04-30,ID_10,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,5000.0,77926410.0,20616407.0,77926410.0,-705155.0,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",249.0,-142472.0,Frederiksberg,-808010.0,-842378.0,5000.0,"Herlev, 163",2012-04-30,2011-05-01,34368.0,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_12,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,100000.0,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_14,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,705155.0,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_16,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,2855.0,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_18,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,808010.0,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-04-30,2011-04-30,ID_20,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,4980759.0,267.0,-125000.0,221505.0,-4942642.0,-4980760.0,-38118.0,4759254.0,3359254.0,1400000.0,4759254.0,-100000.0,-1789229.0,-2928413.0,-38118.0,221238.0,221238.0,-34368.0
entity identifier,2011-05-01,2012-04-30,ID_0,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_1,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_11,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,100000.0,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_13,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8vcGRmcy8yMDYxNjQwNztBcFMyNDE4OTM7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/70461602/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMDkyNF8xMTE5MjRfNjI3.xml,"Herlev, 2730",VasekÃ¦r 6-8,"Frederiksberg, 2000",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-09-20,1997-11-13,2012-09-21,Statsautorisert revisor,Note  - Varebeholdninger,Note  - HensÃ¦ttelser til udskudt skat,Note  -  Langfristede tilgodehavender,Note  - PeriodeafgrÃ¦nsningsposter,,77926410.0,20616407.0,77926410.0,,Note  - IgangvÃ¦rende arbejder for fremmed regning,Ãrsrapport,Bjarne Albrechtsen,Vagn Andersen,Vagn Andersen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",JÃ¦ttestuen ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",,,Frederiksberg,1834433.0,,,"Herlev, 163",2012-04-30,2011-05-01,,DirektÃ¸r,urn:ofk:oid:13317913,indberetninger-20180424,2.5122786,20616407.0,,2018-04-02T06:01:50.796Z,2012-09-24T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-215.042,2012-09-24T22:00:00.000Z,,,,,,,,,,,,,,,,,,
