entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToInvestments,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisposalsOfInvestments,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,InvestmentsGross,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,IncreaseDecreaseOfEquityThroughChangesInAccountingPolicies
30822978,2015-01-01,2015-12-31,c176,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",-16000.0,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,-13000.0,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,20232000.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,-55000.0,0.0,Middelfart,20180000.0,20164000.0,20219000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,16000.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,,,,,,,,,,,,,,,,,,,,
30822978,2015-01-01,2015-12-31,c179,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,505000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,,,,,,,,,,,,,,,,,,,,
30822978,2015-01-01,2015-12-31,c181,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,1500000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,,,,,,,,,,,,,,,,,,,,
30822978,2015-01-01,2015-12-31,c197,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,18175000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,,,,,,,,,,,,,,,,,,,,
30822978,2015-12-31,2015-12-31,c173,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,23455000.0,1895000.0,125000.0,21723000.0,23455000.0,1732000.0,4880000.0,4880000.0,4880000.0,2425000.0,415000.0,12922000.0,505000.0,21093000.0,2425000.0,1732000.0,14255000.0,1317000.0,1333000.0,,,,
30822978,2016-01-01,2016-01-01,c228,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,125000.0,,,,,,,,,,,,,,,,,,,
30822978,2016-01-01,2016-01-01,c255,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,21092560.0,,,,,,,,,,,,,,,,,,,
30822978,2016-01-01,2016-01-01,c259,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,0.0,,,,,,,,,,,,,,,,,,,
30822978,2016-01-01,2016-01-01,c577,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Middelfart,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,,,,,,,,,,,,,,,,,4880000.0,,,
30822978,2016-01-01,2016-12-31,c175,,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzL2M0L2Q1LzYyL2I4LzM5M2MtNDc1Mi1iN2I4LTc2ZThmZjVmMDQwNA.pdf,http://regnskaber.virk.dk/87922803/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzMyL2NiLzRkLzVlMzgtNGE4ZC04OGY5LWU0MTViZWFhYTE5Mg.xml,false,501250.0,Kolding,6000.0,39.0,Birkemose AllÃ©,6000 Kolding,Jernbanegade 14,5500 Middelfart,"Algade 67, 1.",DK-6000 Kolding,Birkemose AllÃ© 39,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",185218.0,2017-01-10,2007-09-07,2017-01-11,Statsautoriseret revisor,4880000.0,-505000.0,-45235.0,20222670.0,30822978.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for BF Holding Kolding ApS.,3167686.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter KlÃ¸vborg,Brit Forsberg,Brit Forsberg,Sydbank,BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,895625.0,Middelfart,3832858.0,4018076.0,3122451.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2016-12-31,2016-01-01,false,2017-01-10,Kolding,-185218.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:23383465,indberetninger-20180424,2.5122464,30822978.0,,2018-03-27T11:10:01.680Z,2017-01-11T15:22:45.015Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-66-YE,2017-01-11T15:22:45.174Z,,,,,,,,,,,,,,,,,,,,,Til kapitalejeren i BF Holding Kolding ApS,BDO Statsautoriseret revisionsaktieselskab,
