entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
29620776,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,640528.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29620776,2016-01-01,2016-12-31,ID_6,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29620776,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,-529202.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,237653.0,-82608.0,398818.0,246588.0,67180.0,-539671.0,-387441.0,-10469.0,,,,,,,,,,,,,,,,,,,,,,,,,
29620776,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,-111326.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29620776,2016-12-31,2016-12-31,ID_3,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,,,,,,,,,8503562.0,755794.0,2500000.0,8404062.0,79680.0,34521.0,6385011.0,99500.0,8503562.0,2118551.0,99500.0,7090064.0,5497.0,196133.0,99500.0,111326.0,3773685.0,7090064.0,2118551.0,2093054.0,558204.0,222870.0,20000.0,25000.0,
29620776,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hanne Storgaard Schultz
29620776,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29620776,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,465105.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29620776,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,-351205.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,,194604.0,-13793.0,455580.0,328072.0,74500.0,-410405.0,-282897.0,-59200.0,,,,,,,,,,,,,,,,,,,,,,,,,
29620776,2017-01-01,2017-12-31,ID_5,,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzEwL2JlL2Y5L2ZjNTEtNDAxZC1hMzdmLWVhYWYwYjRjNjk1Nw.pdf,http://regnskaber.virk.dk/67702692/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzk4L2JiLzViL2I2ZGYtNGFkZS04YjMwLTU3YWUyOWUwYzEzYg.xml,true,"3400, HillerÃ¸d",IndustrivÃ¦nget 22,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-02-09,2018-02-09,2006-06-13,2018-03-29,29620776.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Coreo ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Schultz,Coreo ApS,Agrovi Revision,Danstrup,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25252018,indberetninger-20180424,2.5118417999999996,29620776.0,,2018-04-04T14:42:53.477Z,2018-04-03T06:40:02.335Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-94-HR,2018-04-03T06:40:02.518Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
