entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,Assets,CashAndCashEquivalents,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ContributedCapital,CurrentAssets,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTradePayables,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2012-12-13,2012-12-31,ID_0,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,,,
entity identifier,2012-12-13,2012-12-31,ID_1,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,,,
entity identifier,2012-12-13,2012-12-31,ID_10,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,,,
entity identifier,2012-12-13,2012-12-31,ID_11,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,,,
entity identifier,2012-12-13,2012-12-31,ID_12,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,10000.0,,
entity identifier,2012-12-13,2012-12-31,ID_13,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,-10000.0,,
entity identifier,2012-12-13,2012-12-31,ID_14,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,-10000.0,,
entity identifier,2012-12-13,2012-12-31,ID_16,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,,,
entity identifier,2012-12-13,2012-12-31,ID_17,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,,,
entity identifier,2012-12-13,2012-12-31,ID_2,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8vcGRmcy8zNDg4NDczMDtBcFM1MjIwNjM7MjAxMjEyMTM7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03748843/Y3ZyLmRrOi8veGJybHMvWC1BRTJGRkZBQS0yMDEzMDYxMV8xNTQ1MThfMDMy.xml,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,"1250, KÃ¸benhavn K",Sankt AnnÃ¦ Plads 10,Til kapitalejerne i Ventilation Holding ApS,80000.0,80000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for perioden 13. december 2012 - 31. december 2012.",-80000.0,80000.0,2012-12-13,2013-06-10,Statsautoriseret revisor,-70000.0,10000.0,34884730.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for perioden 13. december 2012 - 31. december 2012 for Ventilation Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Ventilation Holding ApS for perioden 13. december 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-80000.0,-10000.0,Bill Haudal Pedersen,Jesper Frydensberg Rasmussen,Jesper Frydensberg Rasmussen,"Deloitte, Statsautoriseret Revisionspartnerselskab",Nordea Bank Danmark A/S,Ventilation Holding ApS,Axcel Management A/S,10000.0,10000.0,10000.0,2012-12-31,2012-12-13,10000.0,-10000.0,-10000.0,2013-05-13,KÃ¸benhavn,DirektÃ¸r,urn:ofk:oid:14860157,indberetninger-20180424,2.5118406,34884730.0,,2018-04-02T01:28:00.867Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-12-13,13-173.521,2013-06-11T22:00:00.000Z,,Thomas Voss,Bestyrelsesformand
