entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherInterestExpenses,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance
31174295,2016-07-01,2017-06-30,c174,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,444.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,6900.0,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,5466.0,-169826.0,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,9842.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,4642.0,21964.0,12122.0,Aalborg,824.0,2016-07-01,2017-06-30,-204600.0,-204156.0,-182192.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,444.0,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,,,,,,,,,,,,,,,,,,,,
31174295,2016-07-01,2017-06-30,c195,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,-204600.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,,,,,,,,,,,,,,,,,,,,
31174295,2017-06-30,2017-06-30,c172,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,270279.0,125000.0,1246.0,-614595.0,21100.0,214000.0,270279.0,884874.0,214000.0,21100.0,219309.0,33933.0,21100.0,-739595.0,101463.0,884874.0,500390.0,35179.0,63712.0,,,,
31174295,2017-07-01,2017-07-01,c226,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,125000.0,,,,,,,,,,,,,,,,,,,
31174295,2017-07-01,2017-07-01,c253,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,-739595.0,,,,,,,,,,,,,,,,,,,
31174295,2017-07-01,2017-07-01,c456,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,,,,,,,,,,,,,,,,,58400.0,79500.0,,
31174295,2017-07-01,2018-06-30,c173,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,-46.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,6900.0,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,928.0,-111012.0,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,928.0,18623.0,18623.0,Aalborg,0.0,2016-07-01,2017-06-30,-137417.0,-137463.0,-118840.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,-46.0,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed
31174295,2017-07-01,2018-06-30,c194,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,-137417.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,,,,,,,,,,,,,,,,,,,,
31174295,2017-07-01,2018-06-30,c254,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,-137417.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,,,,,,,,,,,,,,,,,,,,
31174295,2017-07-01,2018-06-30,c305,,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzI5LzViL2MwLzdmMjItNDdlMy1hYTQ4LWQyODRlMjMxYzk1Mg.pdf,http://regnskaber.virk.dk/59247113/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzAzL2M3L2MxLzQwZDItNDg5Yy05ZGZmLTBhOTU1MTM4MDg3NQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,9280 Storvorde,MÃ¸llebrovej 8,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i PESKO TRADING ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-12-20,2008-01-11,2018-12-20,,6900.0,Statsautoriseret revisor,peter@pesko-trading.com,,,20222670.0,31174295.0,20222670.0,mne28629,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for PESKO TRADING ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Damkier,Peter Skov Larsen,Peter Eiliff Skov Larsen,PESKO TRADING ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-07-01,2017-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-06-30,2017-07-01,true,2018-12-20,Aalborg,,+45 22 27 76 66,urn:ofk:oid:26500048,indberetninger-20180424,2.5097342,31174295.0,AWfQw7AIet7j816DxhZ8,2018-12-21T12:36:16.505Z,2018-12-21T12:35:44.036Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-50-DY,2018-12-21T12:35:44.270Z,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
