entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,Assets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,NameAndSurnameOfMemberOfExecutiveBoard
33649258,2013-01-01,2013-12-31,ID_10,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,-100.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2013-01-01,2013-12-31,ID_12,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,46.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2013-01-01,2013-12-31,ID_14,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,770.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2013-01-01,2013-12-31,ID_16,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,716.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2013-01-01,2013-12-31,ID_8,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,-716.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,-21.0,-702.0,0.0,2.0,-721.0,-21.0,-5.0,
33649258,2014-01-01,2014-12-31,ID_0,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2014-01-01,2014-12-31,ID_1,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2014-01-01,2014-12-31,ID_11,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,0.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2014-01-01,2014-12-31,ID_13,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,643161.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
33649258,2014-01-01,2014-12-31,ID_15,,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2MxL2E1LzVlL2Y5ZWEtNDQ0Mi1hMzc4LTg4NjBmZTliMjYxNA.pdf,http://regnskaber.virk.dk/85294633/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2IwLzVmL2FjL2QxOWEtNDg4Ny04NTk0LTQzYTc5Nzc5YWUwYQ.xml,"Maribo, 4930",Ãstre Landevej 2,Til kapitalejerne i G.Madsen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-05-25,2015-05-26,0.0,33649258.0,75283652.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for G.Madsen Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Juul,Jyske Bank,G.Madsen Holding ApS,RevisorHuset De Registrerede Revisorer,543161.0,2014-12-31,2014-01-01,2015-05-26,Maribo,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5324263,indberetninger-20180424,2.5118417999999996,33649258.0,,2018-03-30T18:12:26.955Z,2015-05-28T06:38:30.313Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-36-KP,2015-05-28T06:38:30.439Z,,,,,,,,
