entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
32840477,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,-58097.0,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,
32840477,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,150897.0,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,400657.0,392968.0,267.0,201401.0,193445.0,-7689.0,42548.0,,,,,,,,,,,,,,,,,,,
32840477,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,-92800.0,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,
32840477,2017-12-31,2017-12-31,ID_5,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,1168960.0,893892.0,90000.0,1168960.0,1047773.0,1168960.0,121187.0,0.0,0.0,0.0,120849.0,99091.0,92800.0,864973.0,121187.0,338.0,275068.0,175977.0,
32840477,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,174593.0,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,389082.0,627319.0,21430.0,6999.0,223806.0,238237.0,49213.0,,,,,,,,,,,,,,,,,,,
32840477,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,
32840477,2018-01-01,2018-12-31,ID_10,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,-66593.0,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,
32840477,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,
32840477,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,
32840477,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2LzE2LzExL2MwLzdjYWQtNDM4Zi1hMzdjLTZlNjhmMWYyY2IxMg.pdf,http://regnskaber.virk.dk/77404823/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2M4L2RlL2Q2LzhlZDEtNGM2NS05NTgzLWNlOWEwYTM3YmJkMQ.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3 A,  1. sal",Til den daglige ledelse i Pushkin ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2019-01-22,2019-01-22,2019-01-31,28686668.0,32840477.0,28686668.0,mne816,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Christian Enevoldsen,Ãkonomi og Administration,Pushkin ApS,"Ãkonomi og Administration, Registreret Revisionsanpartsselskab",KÃ¸benhavn,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-01-22,Kastrup,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26624954,indberetninger-20180424,2.511682,32840477.0,AWikOs56et7j816D35e0,2019-01-31T14:06:06.786Z,2019-01-31T14:05:43.329Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-33-YN,2019-01-31T14:05:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,Hans Chr. Enevoldsen
