entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,ProposedDividend,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,290000.0,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,-19220.0,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,270780.0,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_8,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,-270780.0,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,465596.0,-830067.0,24508.0,0.0,0.0,-364471.0,-364471.0,-854575.0,93691.0,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_16,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,568150.0,507212.0,-90000.0,568150.0,-98693.0,-568150.0,-469457.0,-120245.0,-290000.0,-8693.0,-469457.0,-372.0,60938.0,-58840.0,60938.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,282530.0,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,379130.0,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8vcGRmcy8zMjg0MDQ3NztBcFM0NzI1ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/77404823/Y3ZyLmRrOi8veGJybHMvWC03RTE1NDRGMC0yMDEzMDIwMV8xNTA2MzFfNTU5.xml,"KÃ¸benhavn SV, 2450","Thad Jones Vej 16, 3. tv.","2770, Kastrup","FiglebÃ¦kvej 3A, 1. sal",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-02-01,Registreret revisor,. Virksomhedens formÃ¥l,25928121.0,32840477.0,25928121.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Pushkin ApS.,Ãrsrapport,Ernst Henriksen,Hans Chr. Enevoldsen,Hans Chr. Enevoldsen,"ERNST HENRIKSEN, Registreret Revisionsanpartsselskab",Pushkin ApS,Ernst Henriksen,,2012-12-31,2012-01-01,2013-01-15,Kastrup,DirektÃ¸r,urn:ofk:oid:20673591,indberetninger-20180424,2.511702,32840477.0,,2018-04-01T15:00:24.289Z,2013-02-02T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-137.592,2013-02-02T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
