entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,ProfitLossFromOrdinaryActivitiesBeforeTax,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard
30236920,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,-51700.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30236920,2016-01-01,2016-12-31,ID_12,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,3060.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30236920,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,91984.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,-5013.0,96940.0,90862.0,1065.0,-1122.0,,,,,,,,,,,,,,,,,,,,,
30236920,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,-43344.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30236920,2016-12-31,2016-12-31,ID_6,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,198913.0,2422.0,50000.0,3525.0,1103.0,128800.0,198913.0,70113.0,195388.0,0.0,195388.0,195388.0,1500.0,51700.0,15399.0,11701.0,70113.0,68613.0,1103.0,0.0,
30236920,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,90032.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,-5763.0,95929.0,88722.0,1444.0,-1310.0,,,,,,,,,,,,,,,,,,,,,
30236920,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30236920,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,4071.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30236920,2017-01-01,2017-12-31,ID_13,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,-41203.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30236920,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcxLzAyLzFhL2UxMTgtNDE5Zi05Yjc2LWMzNTY0N2ViY2QzOA.pdf,http://regnskaber.virk.dk/02963203/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzM3L2QyLzc2LzZjMmItNDgyOC04NDQ0LTJiODJmZDUzZDg3MA.xml,true,"9200, Aalborg SV",Vandmanden 10A,Til den daglige ledelse i ABEL INVEST APS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-01-18,2018-01-18,2007-01-01,2018-01-18,33357966.0,30236920.0,33357966.0,mne28659,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for ABEL INVEST APS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper  Ovesen,Henrik Abel Larsen,ATTIRI,ABEL INVEST APS,"ATTIRI, Statsautoriseret Revisionsaktieselskab",Aalborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-01-18,Aalborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24971653,indberetninger-20180424,2.5122871,30236920.0,,2018-04-03T16:14:47.664Z,2018-01-22T11:43:43.383Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-53-DE,2018-01-22T11:43:43.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,
