entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DevelopmentProjectsInProgressAndPrepaymentsForIntangibleAssets,Equity,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,IncreaseDecreaseOfEquityThroughCorrectionsOfErrors
35871187,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,0.0,-547253.0,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,2447.0,KÃ¸benhavn,2016-01-01,2016-12-31,-547900.0,-549700.0,2017-12-31,2017-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,,,,,,,,,,,,,,
35871187,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,-547900.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,,,,,,,,,,,,,,
35871187,2016-12-31,2016-12-31,c6,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,263805.0,180894.0,50000.0,216599.0,47206.0,-947932.0,47206.0,263805.0,1211736.0,47206.0,4086.0,35705.0,-997932.0,1211736.0,63206.0,963859.0,35705.0,180585.0,
35871187,2017-01-01,2017-01-01,c7,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,50000.0,,,,,,,,,,,,,
35871187,2017-01-01,2017-01-01,c8,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,-270530.0,,,,,,,,,,,,,
35871187,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,-220530.0,,,,,,,,,,,,,
35871187,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,142598.0,-142797.0,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,0.0,KÃ¸benhavn,2016-01-01,2016-12-31,74477.0,-285395.0,2017-12-31,2017-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,,,,,,,,,,,,,,-727402.0
35871187,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,,,,,,,,,,,,,,
35871187,2017-01-01,2017-12-31,c10,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,0.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,,,,,,,,,,,,,,0.0
35871187,2017-01-01,2017-12-31,c11,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2YzL2YxLzc2L2RmOTgtNDlhNy04MjZiLWE1OGUzY2FlYTgzZQ.xhtml,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzgzLzI5L2EyL2U5M2MtNDYxZi04ODIxLTQ4ZDYwMTdlNWE5ZA.pdf,http://regnskaber.virk.dk/78117853/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzViL2VlLzY1LzdjZDUtNDlmNy04M2QzLTE3Njc5NTFhNTU2Yg.xml,true,Danmark,DK,Frederiksberg,2000.0,"7, st th",Nordre Fasanvej,2400.0,"Vagtmestervej 16, st mf",Regnskabsklasse B,2018-05-15,2018-05-15,zaedo@dinesuperb.com,,,35871187.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Zaedo Musa Hajaya,Zaedo Musa Hajaya,Danske Bank,Superb Group ApS,Jacob Jacobsen,,KÃ¸benhavn,2016-01-01,2016-12-31,74477.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25466468,indberetninger-20180424,2.5949402000000004,35871187.0,AWNno2dLx8uVRSOdgirr,2018-05-16T06:29:37.773Z,2018-05-16T06:29:11.665Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-47-HJ,2018-05-16T06:29:11.853Z,,,,,,,,,,,,,,,,,,,-727402.0
