entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
10068126,2012-10-01,2013-09-30,c7,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,0.0,-76277.0,33256876.0,10068126.0,1016413646.0,-4624240.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,5250313.0,93116.0,Jyllinge,2012-10-01,2013-09-30,-9857285.0,-9857714.0,2014-09-30,2013-10-01,2015-02-26,Hellerup,-429.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
10068126,2012-10-01,2013-09-30,c9,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,-9857285.0,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
10068126,2013-09-30,2013-09-30,c11,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,2189843.0,2133.0,125000.0,2115349.0,1959629.0,2189843.0,230214.0,74494.0,0.0,74494.0,74494.0,992340.0,50000.0,599218.0,1834629.0,992340.0,230214.0,1120876.0,521658.0,180214.0,,
10068126,2013-10-01,2014-09-30,c0,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,23694.0,-38435.0,33256876.0,10068126.0,1016413646.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,328150.0,390279.0,Jyllinge,2012-10-01,2013-09-30,23694.0,23694.0,2014-09-30,2013-10-01,2015-02-26,Hellerup,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
10068126,2013-10-01,2014-09-30,c1,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,CROWE HORWATH STATSAUTORISERET    REVISIONSINTERESSENTSKAB,
10068126,2013-10-01,2014-09-30,c2,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
10068126,2013-10-01,2014-09-30,c3,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,Paola Sposini
10068126,2013-10-01,2014-09-30,c4,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,Carlo Berton
10068126,2013-10-01,2014-09-30,c5,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,Giulia Berton
10068126,2013-10-01,2014-09-30,c6,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8vcGRmcy8xMDA2ODEyNjtBcFMyODMwNTk7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/62186001/Y3ZyLmRrOi8veGJybHMvWC1EMjAzREM4MS0yMDE1MDMxNl8wOTMzNTlfNzA1.xml,Danmark,DK,Hellerup,2900.0,104.0,RygÃ¥rds AllÃ©,Jyllinge,4040.0,10.0,Fjordager,2900 Hellerup,RygÃ¥rds Alle 104,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-26,2015-03-10,Statsautoriseret revisor,,,33256876.0,10068126.0,1016413646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Hans Olsen,Lone Hansen,Lone Hansen,SOUTH WIND ENERGY ApS,Crowe Horwath,,,Jyllinge,2012-10-01,2013-09-30,,,2014-09-30,2013-10-01,2015-02-26,Hellerup,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:12580903,indberetninger-20180424,2.5124211,10068126.0,,2018-03-30T17:26:10.352Z,2015-03-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-385.269,2015-03-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,Livia Berton
