entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,ReversalsOfImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,TypeOfBasisForModifiedOpinionOnAuditedFinancialStatements,TypeOfModifiedOpinionOnAuditedFinancialStatements,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,EquityRatio,GrossMargin,GrossResult,InterestExpenseAssignedToGroupEnterprises,OperatingMargin,OtherEmployeeExpense,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherInterestExpenses,OtherOperatingExpenses,OtherOperatingIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RawMaterialsAndConsumablesUsed,ResultsFromNetFinancials,ReturnOnEquity,Revenue,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToOtherCreditInstitutions,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherProvisions,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PrepaymentsForGoods,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,NameAndSurnameOfMemberOfSupervisoryBoard
33759142,2012-01-01,2012-01-01,c723,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,1000000.0,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33759142,2012-01-01,2012-01-01,c741,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,3388248.0,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33759142,2012-01-01,2012-12-31,c123,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,8919974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33759142,2012-01-01,2012-12-31,c3,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,8919974.0,4016810.0,115688235.0,4.9,41.4,134743884.0,1551387.0,4.4,5273002.0,146507827.0,2674918.0,9700.0,264523.0,1123531.0,575631.0,1888152.0,12062513.0,14463208.0,46324710.0,-2401000.0,100.8,325688269.0,17356117.0,3142539.0,93059116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33759142,2012-01-01,2012-12-31,c742,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,8919974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33759142,2012-12-31,2012-12-31,c4,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,13308222.0,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,272961272.0,49615432.0,124707787.0,1000000.0,222130735.0,2767000.0,379753.0,29820918.0,272961272.0,255373081.0,0.0,0.0,50830537.0,0.0,15698331.0,6507230.0,50450784.0,1550861.0,50830537.0,4279969.0,4279969.0,28270057.0,12308222.0,255373081.0,126259672.0,51954561.0,142694385.0,5068166.0,61460517.0,3644202.0,,,,,
33759142,2012-12-31,2012-12-31,c722,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,1000000.0,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33759142,2012-12-31,2012-12-31,c743,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,12308222.0,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33759142,2013-01-01,2013-01-01,c157,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4289639.0,54740423.0,,,
33759142,2013-01-01,2013-01-01,c160,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTE0MjtBL1M0OTQ3Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/24195733/Y3ZyLmRrOi8veGJybHMvWC05NzhEQ0MxRi0yMDE0MDcxNV8xNjQxMDFfNzQ1.xml,14373579.0,Danmark,KÃ¸benhavn S,2300.0,11.0,Metrovej,2000 Frederiksberg,"Dirch Passers AllÃ©, 76",aktionÃ¦ren,50.0,"Regnskabsklasse C, stor virksomhed",2014-07-15,2014-07-15,2011-06-05,2014-07-15,statsautoriseret revisor,,33759142.0,29442789.0,Ãrsrapport,Henrik Reedtz,Mr. Stefano Trevisani,Marco Ziller,"Ernst & Young, Godkendt Revisionspartnerselskab",Trevi Foundations Denmark A/S,Redmark,KÃ¸benhavn S,KÃ¸benhavn,2013-12-31,2013-01-01,1196338.0,2014-07-15,KÃ¸benhavn,Formand,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:18374212,indberetninger-20180424,2.5095853999999997,33759142.0,,2018-03-31T18:27:16.309Z,2014-07-15T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-116.018,2014-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71348.0,451101.0,,,
