entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossProfitLoss,IncomeFromOtherLongtermInvestmentsAndReceivables,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsLongtermInvestmentsAndReceivables,DepositsShorttermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,InvestmentProperty,LandAndBuildings,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
60298114,2015-07-01,2016-06-30,ID_10,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,-49809.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2015-07-01,2016-06-30,ID_12,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,-113569.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2015-07-01,2016-06-30,ID_8,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2015-07-01,2016-06-30,ID_9,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,163378.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,619640.0,20189.0,0.0,1217057.0,43114.0,200125.0,577228.0,80080.0,36747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2016-06-30,2016-06-30,ID_6,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,,,,,,,,,,16197872.0,1363721.0,202000.0,2211336.0,163146.0,97078.0,239908.0,529623.0,486950.0,0.0,12467116.0,935392.0,16197872.0,15668249.0,97078.0,2824575.0,2824575.0,13986536.0,217356.0,13889458.0,113569.0,0.0,0.0,214054.0,58610.0,12843674.0,100000.0,12062292.0,104723.0,847615.0,60785.0,,
60298114,2016-07-01,2017-06-30,ID_0,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,12392370.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,252475.0,346904.0,15834884.0,1246454.0,0.0,15876802.0,16481959.0,192374.0,3484432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2016-07-01,2017-06-30,ID_1,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2016-07-01,2017-06-30,ID_11,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2016-07-01,2017-06-30,ID_13,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,-12392370.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60298114,2016-07-01,2017-06-30,ID_2,,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzQ5LzY0L2I2L2QwNzUtNGViNC1iM2EzLWYyZmU2ZmI4ZjY1Ng.pdf,http://regnskaber.virk.dk/41189206/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzI3LzA0Lzc5L2NjMTUtNGEzMi1hNTgyLTY2ZDBjNzdiNWQ0Zg.xml,false,"HÃ¸rsholm, 2970",UsserÃ¸d Kongevej 157,Til kapitalejerne i ApS af 20/5 1991,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-08-29,2017-08-29,2017-09-11,39463113.0,60298114.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for ApS af 20/5 1991.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michel  Hansen,Ove Niebuhr,Kreston CM,ApS af 20/5 1991,"Kreston CM, Statsautoriseret Revisionsinteressentskab",RÃ¸dovre,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2016-07-01,false,2017-08-29,HÃ¸rsholm,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",RevisionspÃ¥tegning,urn:ofk:oid:24496095,indberetninger-20180424,2.512265,60298114.0,,2018-03-27T15:26:26.333Z,2017-09-13T08:11:45.355Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AU-33-VH,2017-09-13T08:11:45.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Niebuhr,DirektÃ¸r
