entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,NameAndSurnameOfMemberOfExecutiveBoard
34469210,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,2000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,,,,,,,,,,,,,,
34469210,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,10553.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,-2000.0,12553.0,10553.0,-2000.0,,,,,,,,,,,,,,
34469210,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,-12553.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,,,,,,,,,,,,,,
34469210,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,574323.0,80000.0,562198.0,574323.0,12125.0,574323.0,574323.0,574323.0,1500.0,274323.0,207875.0,12125.0,10625.0,
34469210,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,787.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,-2000.0,2787.0,787.0,-2000.0,,,,,,,,,,,,,,
34469210,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,,,,,,,,,,,,,,
34469210,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,2000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,,,,,,,,,,,,,,
34469210,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,,,,,,,,,,,,,,
34469210,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,,,,,,,,,,,,,,Brit OkkerstrÃ¸m Biltrup
34469210,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzliLzFhLzIwL2U2MGQtNDIyNC05YTFlLTc3NTM1ZjMxYjk3YQ.pdf,http://regnskaber.virk.dk/01296443/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2ZhLzE4LzkzL2ExOTYtNGI4Zi1iMTc1LTQ0YzcwMTM3YWI4NA.xml,true,"Vejle, 7100",Havnegade 5,Til den daglige ledelse i BOB Holding Egtved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-04-20,2018-04-20,2012-03-29,2018-04-23,26273110.0,34469210.0,26273110.0,mne17225,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BOB Holding Egtved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Jensen,Brit OkkerstrÃ¸m Bilstrup,Erhvervsrevisorerne i Vejle ApS,Sydbank A/S,BOB Holding Egtved ApS,"Erhvervsrevisorerne i Vejle ApS, Registrerede revisorer",Egtved,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"630, Vejle",2017-12-31,2017-01-01,false,2018-04-20,Vejle,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25349087,indberetninger-20180424,2.5097342,34469210.0,AWL2alhIx8uVRSOdf8qn,2018-04-24T06:50:05.525Z,2018-04-24T06:49:43.255Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-62-KQ,2018-04-24T06:49:43.382Z,,,,,,,,,,,,,,,,,,
