entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,AuditorsReportsAccordingToOtherLegislationAndRegulation,ClassOfReportingEntity,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,FaxNumberOfReportingEntity,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherProvisions,OtherShorttermReceivables,Provisions,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
21093890,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,19698428.0,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,93.0,-316732.0,18380789.0,19381789.0,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,-1001000.0,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,18380789.0,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,18380789.0,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2012-12-31,2012-12-31,ID_16,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,84477889.0,83650666.0,-5200000.0,84467889.0,63860.0,18332508.0,-84477889.0,-848822.0,10000.0,10000.0,10000.0,-101961575.0,753363.0,-101961575.0,178182508.0,-154650000.0,-848822.0,817223.0,-848822.0,,
21093890,2013-01-01,2013-12-31,ID_0,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2013-01-01,2013-12-31,ID_1,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2013-01-01,2013-12-31,ID_11,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,21437914.0,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2013-01-01,2013-12-31,ID_13,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,21437914.0,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2013-01-01,2013-12-31,ID_17,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21093890,2013-01-01,2013-12-31,ID_18,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8vcGRmcy8yMTA5Mzg5MDtBL1MyNDY5MzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09839012/Y3ZyLmRrOi8veGJybHMvWC05MTZERDRFNi0yMDE0MDUzMF8yMjUyMjNfMDgx.xml,"Herlev, 2730","LyskÃ¦r 3 CD, c/o Visma Services Danmark A/S","Herlev, 2730",LyskÃ¦r 3 CD,Til kapitalejerne i Fortis Lease Danmark A/S / To shareholders of Fortis Lease Danmark A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,1998-05-01,2014-05-27,Statsautoriseret revisor,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,31061741.0,Ãrsrapport,Kurt Christensen,Mikkel Baaring Lerche,Peter Eduard J Van Loon,Mazars Denmark Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Visma Services Danmark A/S,,,,,"Herlev, 163",2013-12-31,2013-01-01,2014-05-27,KÃ¸benhavn,,70 10 76 86,Bestyrelsesmedlem,urn:ofk:oid:20236406,indberetninger-20180424,2.5118406,21093890.0,,2018-03-31T17:53:00.889Z,2014-06-01T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-37.749,2014-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
