entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,ReportingResponsibilitiesAccordingToTheDanishExecutiveOrderOnApprovedAuditorsReportsEspeciallyOtherMattersExtendedReview,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AcquiredIntangibleAssets,Assets,CompletedDevelopmentProjects,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,ProvisionsForPensionsAndSimilarLiabilities,RawMaterialsAndConsumables,ReserveForDevelopmentExpenditure,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermReceivablesFromOwnersAndManagement,ShorttermTradePayables,ShorttermTradeReceivables,WorkInProgress,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,InvestmentsGross,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToIntangibleAssets,AmortisationOfIntangibleAssets,DepreciationOfPropertyPlantAndEquipment
29421374,2015-07-01,2016-06-30,c347,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,-19000.0,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,449000.0,Statsautoriseret revisor,1680000.0,2171000.0,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,17000.0,140000.0,5000.0,140000.0,5000.0,Kolding,62000.0,2015-07-01,2016-06-30,-74000.0,-93000.0,42000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,8000.0,-19000.0,1593000.0,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29421374,2015-07-01,2016-06-30,c368,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,-74000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29421374,2016-06-30,2016-06-30,c398,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,27000.0,4100000.0,1008000.0,125000.0,90000.0,75000.0,103000.0,1035000.0,1292000.0,4100000.0,3543000.0,29000.0,1476000.0,29000.0,382000.0,167000.0,309000.0,412000.0,482000.0,259000.0,223000.0,924000.0,0.0,-50000.0,2616000.0,3543000.0,9000.0,1332000.0,0.0,54000.0,536000.0,1021000.0,368000.0,,,,,,,,,,,
29421374,2016-07-01,2016-07-01,c421,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1007549.0,,,,,,,,,
29421374,2016-07-01,2016-07-01,c436,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7634.0,35237.0,,,,,,,,,
29421374,2016-07-01,2016-07-01,c550,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172473.0,481863.0,,,,,,,
29421374,2016-07-01,2016-07-01,c553,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39960.0,143077.0,,,,,,,
29421374,2016-07-01,2016-07-01,c676,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28535.0,,,,,,
29421374,2016-07-01,2016-07-01,c703,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29421374,2016-07-01,2016-07-01,c723,,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2RiL2NiL2U0L2I5N2QtNDhlNi05YTBhLWJlOGI5ZGRjNzJjMQ.pdf,http://regnskaber.virk.dk/47312492/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzE0L2NiLzk0LzYzYTgtNDFhMy1iOTBkLTk5ODE5MDU3YzAyMg.xml,false,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,7.0,Buen,6000 Kolding,"Hjarupvej 36E, Vonsild",DK-6000 Kolding,Birkemose AllÃ© 39,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",2017-12-11,2006-03-22,2017-12-11,,Statsautoriseret revisor,,,20222670.0,29421374.0,20222670.0,mne11677,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for BOLIGVEX ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Kruse,Jens Ole Klausen,Jens Ole Klausen,Middelfart Sparekasse,BOLIGVEX ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Kolding,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-06-30,2016-07-01,true,true,2017-12-11,Kolding,,,,urn:ofk:oid:24857553,indberetninger-20180424,2.5124277999999998,29421374.0,,2018-03-28T04:40:30.062Z,2017-12-19T07:56:43.134Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-27-SJ,2017-12-19T07:56:43.463Z,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
