entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ContractWorkInProgress,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExternalExpenses,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
29212856,2012-10-01,2013-09-30,c2,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,-7104.0,153650.0,103924.0,49060.0,198511.0,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,2905.0,0.0,Vejle,2012-10-01,2013-09-30,36498.0,49060.0,51965.0,2014-09-30,2013-10-01,302435.0,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",12562.0,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2012-10-01,2013-09-30,c4,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,0.0,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2012-10-01,2013-09-30,c6,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,0.0,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2012-10-01,2013-09-30,c8,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,36498.0,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2013-09-30,2013-09-30,c10,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,249458.0,22463.0,125000.0,217572.0,11123.0,85109.0,249458.0,164349.0,31886.0,72025.0,31886.0,31886.0,-39891.0,164349.0,35451.0,45101.0,195109.0,2160.0,9612.0,183986.0
29212856,2013-10-01,2014-09-30,c0,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,29805.0,229095.0,114181.0,-3687.0,257365.0,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,2152.0,0.0,Vejle,2012-10-01,2013-09-30,-6251.0,-3687.0,-1535.0,2014-09-30,2013-10-01,371546.0,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",2564.0,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2013-10-01,2014-09-30,c1,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2013-10-01,2014-09-30,c3,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,0.0,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2013-10-01,2014-09-30,c5,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,0.0,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
29212856,2013-10-01,2014-09-30,c7,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzY4LzNiL2NlLzg4NjgtNGIwMS1iNGYzLTQwODhkN2JmYThjZQ.xhtml,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzk0Lzg2LzNlL2ZkN2QtNGY1Yi1hYTM1LTkwODAxY2UzN2NkMg.pdf,http://regnskaber.virk.dk/65821292/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzQ2L2UzL2I3L2VlZmEtNDFhMy05YTlkLTRhODcxNGUxN2U1ZA.xml,ÃrÃ¸skÃ¸bing,5970.0,4.0,GrÃ¸nnÃ¦svej,7100 Vejle,Fredericiavej 91A,Regnskabsklasse B,44315.0,2015-02-26,2015-02-26,,,,,,29212856.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Martin Nielsen,Martin Nielsen,Nordea,NEM BYG ApS,Allan Paulsen,,0.0,Vejle,2012-10-01,2013-09-30,-6251.0,,,2014-09-30,2013-10-01,,"Det er pÃ¥ generalforsamlingen den 15. januar 2007 vedtaget, at selskabets Ã¥rsrapport ikke skal revideres. Direktionen anser betingelserne for at undlade revision af Ã¥rsrapporten for 2013/14 for opfyldt.",,27124276.0,Ingen bistand,urn:ofk:oid:5712193,indberetninger-20180424,2.5954046,29212856,,2018-03-30T11:34:21.254Z,2015-08-01T19:09:44.180Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AF-71-FB,2015-08-01T19:09:44.215Z,,,,,,,,,,,,,,,,,,,,
