entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OpinionOnAuditedFinancialStatements,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
72953312,2016-01-01,2016-01-01,c720,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,500000.0,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,,,,,,,,,,,,,,,,,,,,,,
72953312,2016-01-01,2016-01-01,c741,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,1144000.0,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,,,,,,,,,,,,,,,,,,,,,,
72953312,2016-01-01,2016-12-31,c123,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,84000.0,,,,,,,,,,,,,,,,,,,,,
72953312,2016-01-01,2016-12-31,c3,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,84000.0,-6000.0,0.0,98000.0,16000.0,108000.0,-6000.0,24000.0,,,,,,,,,,,,,,
72953312,2016-01-01,2016-12-31,c742,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,84000.0,,,,,,,,,,,,,,,,,,,,,
72953312,2016-12-31,2016-12-31,c4,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,1728000.0,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,,,,,,,,,3031000.0,1477000.0,500000.0,3031000.0,3031000.0,1303000.0,1228000.0,1303000.0,1554000.0,282000.0,24000.0,0.0,1279000.0,1272000.0
72953312,2016-12-31,2016-12-31,c722,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,500000.0,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,,,,,,,,,,,,,,,,,,,,,,
72953312,2016-12-31,2016-12-31,c743,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,1228000.0,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,,,,,,,,,,,,,,,,,,,,,,
72953312,2017-01-01,2017-01-01,c181,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,500000.0,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,,,,,,,,,,,,,,,,,,,,,,
72953312,2017-01-01,2017-01-01,c199,,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzL2E2Lzc4LzlmLzM4LzQ4YmItNGVjOC05ZGYxLWMzYzBmZjc5YzI4Yw.pdf,http://regnskaber.virk.dk/21335927/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2ZlLzIzL2I1LzY0NWYtNDYwMy1iNzJmLWZhZDk5ZjZlOTRkNQ.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn,1110.0,"5, 1.",St. Regnegade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"I consider the accounting policies used appropriate, and in my opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities in the financial year 1 January to 31 December 2017.",2018-06-05,2018-06-05,1983-10-20,2018-06-06,statsautoriseret revisor,Other external costs comprise costs for administration.,info@dk.gt.com,1228844.0,34209936.0,72953312.0,34209936.0,mne28679,The managing director has today presented the annual report of United Cargo Handling ApS for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of United Cargo Handling ApS for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,I am of the opinion that the management's review includes a fair description of the issues dealt with.,Steen K. Bager,Peter Aandahl,Peter Aandahl,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",United Cargo Handling ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-12-31,2017-01-01,2018-06-05,KÃ¸benhavn,+45 33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:25732930,indberetninger-20180424,2.5118417999999996,72953312.0,AWPUwSMw0wkEsASktd0e,2018-06-06T11:00:58.222Z,2018-06-06T11:00:16.292Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-25-SV,2018-06-06T11:00:16.549Z,,,,,,,,,,,,,,,,,,,,,,
